date_key,forecast_requests
2026-08-01,10.7
2026-08-02,10.1
2026-08-03,25.9
2026-08-04,28.8
2026-08-05,28.3
2026-08-06,25.9
2026-08-07,27.2
2026-08-08,8.1
2026-08-09,8.2
2026-08-10,22.8
2026-08-11,25.1
2026-08-12,22.5
2026-08-13,23.3
2026-08-14,23.2
2026-08-15,10.8
2026-08-16,8.9
2026-08-17,22.0
2026-08-18,25.6
2026-08-19,20.8
2026-08-20,26.9
2026-08-21,20.6
2026-08-22,11.2
2026-08-23,7.4
2026-08-24,21.4
2026-08-25,25.6
2026-08-26,18.9
2026-08-27,21.7
2026-08-28,23.4
2026-08-29,10.0
2026-08-30,9.5
