request_id,employee_id,service_type_id,location_id,urgency,assigned_hours
REQ-002524,EMP-00004,SVC-03,LOC-10,Emergency,0.75
REQ-003304,EMP-00055,SVC-09,LOC-07,Emergency,1.0
REQ-000443,EMP-00036,SVC-07,LOC-03,Emergency,0.83
REQ-007261,EMP-00006,SVC-02,LOC-09,Emergency,2.0
REQ-001967,EMP-00014,SVC-05,LOC-07,Emergency,0.75
REQ-007146,EMP-00089,SVC-03,LOC-07,Emergency,0.75
REQ-006760,EMP-00016,SVC-03,LOC-01,Emergency,0.75
REQ-001564,EMP-00069,SVC-01,LOC-06,Emergency,1.0
REQ-005626,EMP-00119,SVC-09,LOC-04,Emergency,1.0
REQ-004088,EMP-00086,SVC-07,LOC-09,Emergency,0.83
REQ-002617,EMP-00047,SVC-01,LOC-01,Emergency,1.0
REQ-006730,EMP-00005,SVC-05,LOC-01,Emergency,0.75
REQ-003376,EMP-00023,SVC-09,LOC-10,Emergency,1.0
REQ-003882,EMP-00057,SVC-02,LOC-09,Emergency,2.0
REQ-001463,EMP-00031,SVC-05,LOC-09,Emergency,0.75
REQ-003658,EMP-00017,SVC-07,LOC-08,Emergency,0.83
REQ-002404,EMP-00064,SVC-09,LOC-05,Emergency,1.0
REQ-002527,EMP-00021,SVC-07,LOC-04,Emergency,0.83
REQ-000359,EMP-00090,SVC-01,LOC-06,Emergency,1.0
REQ-001829,EMP-00022,SVC-01,LOC-10,Emergency,1.0
REQ-006113,EMP-00033,SVC-05,LOC-08,Emergency,0.75
REQ-002749,EMP-00008,SVC-06,LOC-04,Emergency,0.67
REQ-006530,EMP-00136,SVC-03,LOC-07,Urgent,0.75
REQ-000385,EMP-00092,SVC-09,LOC-05,Urgent,1.0
REQ-003582,EMP-00134,SVC-06,LOC-05,Urgent,0.67
REQ-001828,EMP-00098,SVC-01,LOC-01,Urgent,1.0
REQ-002121,EMP-00027,SVC-09,LOC-06,Urgent,1.0
REQ-006308,EMP-00030,SVC-08,LOC-02,Urgent,1.5
REQ-000772,EMP-00013,SVC-05,LOC-03,Urgent,0.75
REQ-001380,EMP-00110,SVC-01,LOC-06,Urgent,1.0
REQ-006715,EMP-00018,SVC-06,LOC-06,Urgent,0.67
REQ-002084,EMP-00015,SVC-07,LOC-10,Urgent,0.83
REQ-000063,EMP-00060,SVC-02,LOC-10,Urgent,2.0
REQ-002715,EMP-00035,SVC-03,LOC-02,Urgent,0.75
REQ-003218,EMP-00011,SVC-05,LOC-06,Urgent,0.75
REQ-004717,EMP-00039,SVC-03,LOC-02,Urgent,0.75
REQ-001077,EMP-00056,SVC-01,LOC-02,Urgent,1.0
REQ-000796,EMP-00042,SVC-07,LOC-09,Urgent,0.83
REQ-001978,EMP-00058,SVC-02,LOC-01,Urgent,2.0
REQ-006493,EMP-00122,SVC-08,LOC-09,Urgent,1.5
REQ-004806,EMP-00083,SVC-07,LOC-05,Urgent,0.83
REQ-000114,EMP-00121,SVC-01,LOC-01,Urgent,1.0
REQ-006586,EMP-00044,SVC-03,LOC-02,Urgent,0.75
REQ-004078,EMP-00139,SVC-02,LOC-03,Urgent,2.0
REQ-001711,EMP-00126,SVC-06,LOC-09,Urgent,0.67
REQ-000380,EMP-00050,SVC-03,LOC-07,Urgent,0.75
REQ-003587,EMP-00025,SVC-05,LOC-01,Urgent,0.75
REQ-000288,EMP-00043,SVC-01,LOC-08,Urgent,1.0
REQ-002730,EMP-00041,SVC-04,LOC-09,Urgent,1.0
REQ-003143,EMP-00091,SVC-02,LOC-10,Urgent,2.0
REQ-003170,EMP-00085,SVC-08,LOC-08,Urgent,1.5
REQ-004049,EMP-00066,SVC-01,LOC-07,Urgent,1.0
REQ-003120,EMP-00093,SVC-01,LOC-09,Urgent,1.0
REQ-007027,EMP-00133,SVC-09,LOC-03,Urgent,1.0
REQ-005512,EMP-00102,SVC-01,LOC-02,Urgent,1.0
REQ-001331,EMP-00052,SVC-01,LOC-08,Urgent,1.0
REQ-006699,EMP-00024,SVC-01,LOC-05,Urgent,1.0
REQ-001435,EMP-00103,SVC-07,LOC-07,Urgent,0.83
REQ-003517,EMP-00124,SVC-07,LOC-02,Urgent,0.83
REQ-005876,EMP-00063,SVC-03,LOC-05,Urgent,0.75
REQ-002587,EMP-00032,SVC-01,LOC-01,Urgent,1.0
REQ-000167,EMP-00008,SVC-07,LOC-05,Urgent,0.83
REQ-003379,EMP-00037,SVC-05,LOC-06,Urgent,0.75
REQ-001137,EMP-00068,SVC-03,LOC-07,Urgent,0.75
REQ-000169,EMP-00049,SVC-01,LOC-04,Urgent,1.0
REQ-006991,EMP-00100,SVC-04,LOC-04,Urgent,1.0
REQ-003294,EMP-00115,SVC-08,LOC-03,Urgent,1.5
REQ-001908,EMP-00018,SVC-02,LOC-02,Urgent,2.0
REQ-002546,EMP-00126,SVC-06,LOC-04,Urgent,0.67
REQ-002520,EMP-00134,SVC-02,LOC-07,Urgent,2.0
REQ-004182,EMP-00004,SVC-03,LOC-01,Urgent,0.75
REQ-003944,EMP-00103,SVC-06,LOC-07,Urgent,0.67
REQ-001894,EMP-00118,SVC-08,LOC-08,Urgent,1.5
REQ-001050,EMP-00027,SVC-02,LOC-09,Urgent,2.0
REQ-003404,EMP-00065,SVC-01,LOC-09,Urgent,1.0
REQ-002304,EMP-00050,SVC-03,LOC-03,Urgent,0.75
REQ-003121,EMP-00080,SVC-01,LOC-06,Urgent,1.0
REQ-001556,EMP-00090,SVC-02,LOC-03,Urgent,2.0
REQ-005116,EMP-00104,SVC-05,LOC-07,Urgent,0.75
REQ-004645,EMP-00005,SVC-07,LOC-03,Urgent,0.83
REQ-006234,EMP-00110,SVC-02,LOC-01,Urgent,2.0
REQ-001652,EMP-00126,SVC-02,LOC-01,Urgent,2.0
REQ-003557,EMP-00084,SVC-01,LOC-09,Urgent,1.0
REQ-002181,EMP-00099,SVC-01,LOC-09,Urgent,1.0
REQ-003771,EMP-00010,SVC-05,LOC-05,Urgent,0.75
REQ-002232,EMP-00128,SVC-01,LOC-09,Urgent,1.0
REQ-003676,EMP-00016,SVC-03,LOC-08,Urgent,0.75
REQ-000242,EMP-00131,SVC-05,LOC-07,Urgent,0.75
REQ-003513,EMP-00008,SVC-02,LOC-03,Urgent,2.0
REQ-003464,EMP-00106,SVC-09,LOC-07,Urgent,1.0
REQ-003873,EMP-00002,SVC-05,LOC-01,Urgent,0.75
REQ-001642,EMP-00129,SVC-01,LOC-09,Urgent,1.0
REQ-002343,EMP-00103,SVC-02,LOC-07,Urgent,2.0
REQ-006398,EMP-00136,SVC-08,LOC-09,Urgent,1.5
REQ-003044,EMP-00033,SVC-07,LOC-02,Urgent,0.83
REQ-006592,EMP-00138,SVC-01,LOC-08,Urgent,1.0
REQ-005152,EMP-00061,SVC-05,LOC-04,Urgent,0.75
REQ-001713,EMP-00091,SVC-02,LOC-02,Urgent,2.0
REQ-005968,EMP-00068,SVC-03,LOC-04,Urgent,0.75
REQ-002323,EMP-00075,SVC-04,LOC-01,Urgent,1.0
REQ-004732,EMP-00035,SVC-03,LOC-01,Urgent,0.75
REQ-003571,EMP-00141,SVC-01,LOC-01,Urgent,1.0
REQ-000782,EMP-00006,SVC-02,LOC-04,Urgent,2.0
REQ-004220,EMP-00146,SVC-01,LOC-08,Urgent,1.0
REQ-004779,EMP-00150,SVC-01,LOC-07,Urgent,1.0
REQ-002133,EMP-00058,SVC-02,LOC-08,Urgent,2.0
REQ-006365,EMP-00057,SVC-06,LOC-07,Urgent,0.67
REQ-005347,EMP-00039,SVC-03,LOC-10,Urgent,0.75
REQ-003136,EMP-00028,SVC-05,LOC-01,Urgent,0.75
REQ-001699,EMP-00015,SVC-07,LOC-01,Urgent,0.83
REQ-001780,EMP-00112,SVC-04,LOC-09,Urgent,1.0
REQ-001892,EMP-00014,SVC-01,LOC-08,Urgent,1.0
REQ-000040,EMP-00060,SVC-06,LOC-01,Priority,0.67
REQ-006033,EMP-00041,SVC-08,LOC-05,Priority,1.5
REQ-004610,EMP-00139,SVC-02,LOC-09,Priority,2.0
REQ-003130,EMP-00018,SVC-02,LOC-04,Priority,2.0
REQ-002591,EMP-00031,SVC-01,LOC-06,Priority,1.0
REQ-006499,EMP-00089,SVC-01,LOC-07,Priority,1.0
REQ-000852,EMP-00083,SVC-09,LOC-02,Priority,1.0
REQ-004571,EMP-00057,SVC-06,LOC-09,Priority,0.67
REQ-000010,EMP-00038,SVC-05,LOC-01,Priority,0.75
REQ-001354,EMP-00021,SVC-07,LOC-04,Priority,0.83
REQ-002037,EMP-00104,SVC-01,LOC-02,Priority,1.0
REQ-003969,EMP-00051,SVC-05,LOC-02,Priority,0.75
REQ-002913,EMP-00017,SVC-07,LOC-04,Priority,0.83
REQ-007234,EMP-00124,SVC-01,LOC-03,Priority,1.0
REQ-005065,EMP-00137,SVC-04,LOC-01,Priority,1.0
REQ-001835,EMP-00044,SVC-03,LOC-08,Priority,0.75
REQ-006652,EMP-00060,SVC-02,LOC-09,Priority,2.0
REQ-000157,EMP-00069,SVC-01,LOC-06,Priority,1.0
REQ-005161,EMP-00134,SVC-06,LOC-07,Priority,0.67
REQ-000655,EMP-00027,SVC-06,LOC-10,Priority,0.67
REQ-005028,EMP-00040,SVC-05,LOC-08,Priority,0.75
REQ-000999,EMP-00090,SVC-02,LOC-05,Priority,2.0
REQ-006090,EMP-00025,SVC-04,LOC-02,Priority,1.0
REQ-001297,EMP-00054,SVC-05,LOC-10,Priority,0.75
REQ-001538,EMP-00110,SVC-02,LOC-01,Priority,2.0
REQ-002682,EMP-00075,SVC-04,LOC-10,Priority,1.0
REQ-000357,EMP-00057,SVC-02,LOC-10,Priority,2.0
REQ-001253,EMP-00022,SVC-01,LOC-06,Priority,1.0
REQ-005604,EMP-00134,SVC-02,LOC-05,Priority,2.0
REQ-000155,EMP-00042,SVC-07,LOC-05,Priority,0.83
REQ-004724,EMP-00080,SVC-04,LOC-10,Priority,1.0
REQ-006628,EMP-00093,SVC-01,LOC-09,Priority,1.0
REQ-003181,EMP-00063,SVC-03,LOC-06,Priority,0.75
REQ-000085,EMP-00036,SVC-07,LOC-05,Priority,0.83
REQ-003327,EMP-00023,SVC-01,LOC-09,Priority,1.0
REQ-006100,EMP-00092,SVC-03,LOC-02,Priority,0.75
REQ-004472,EMP-00095,SVC-05,LOC-09,Priority,0.75
REQ-000449,EMP-00024,SVC-01,LOC-04,Priority,1.0
REQ-005283,EMP-00126,SVC-02,LOC-08,Priority,2.0
REQ-002563,EMP-00004,SVC-03,LOC-02,Priority,0.75
REQ-005699,EMP-00086,SVC-07,LOC-05,Priority,0.83
REQ-003482,EMP-00032,SVC-01,LOC-05,Priority,1.0
REQ-003849,EMP-00096,SVC-05,LOC-06,Priority,0.75
REQ-000349,EMP-00062,SVC-05,LOC-01,Priority,0.75
REQ-003286,EMP-00055,SVC-01,LOC-07,Priority,1.0
REQ-001473,EMP-00067,SVC-05,LOC-01,Priority,0.75
REQ-003553,EMP-00064,SVC-09,LOC-05,Priority,1.0
REQ-006969,EMP-00065,SVC-01,LOC-10,Priority,1.0
REQ-006166,EMP-00100,SVC-04,LOC-09,Priority,1.0
REQ-005439,EMP-00043,SVC-01,LOC-06,Priority,1.0
REQ-001596,EMP-00056,SVC-07,LOC-09,Priority,0.83
REQ-006388,EMP-00103,SVC-02,LOC-08,Priority,2.0
REQ-004508,EMP-00008,SVC-06,LOC-05,Priority,0.67
REQ-002926,EMP-00142,SVC-05,LOC-07,Priority,0.75
REQ-001536,EMP-00052,SVC-01,LOC-08,Priority,1.0
REQ-002069,EMP-00143,SVC-05,LOC-06,Priority,0.75
REQ-003692,EMP-00112,SVC-04,LOC-07,Priority,1.0
REQ-000271,EMP-00027,SVC-06,LOC-10,Priority,0.67
REQ-003590,EMP-00047,SVC-01,LOC-01,Priority,1.0
REQ-004464,EMP-00006,SVC-06,LOC-07,Priority,0.67
REQ-003973,EMP-00049,SVC-01,LOC-10,Priority,1.0
REQ-001527,EMP-00106,SVC-09,LOC-06,Priority,1.0
REQ-001408,EMP-00058,SVC-02,LOC-04,Priority,2.0
REQ-005859,EMP-00016,SVC-03,LOC-08,Priority,0.75
REQ-002461,EMP-00066,SVC-01,LOC-06,Priority,1.0
REQ-001511,EMP-00091,SVC-06,LOC-08,Priority,0.67
REQ-004465,EMP-00068,SVC-03,LOC-04,Priority,0.75
REQ-006421,EMP-00105,SVC-05,LOC-10,Priority,0.75
REQ-003002,EMP-00139,SVC-02,LOC-05,Priority,2.0
REQ-002561,EMP-00008,SVC-06,LOC-07,Priority,0.67
REQ-006955,EMP-00098,SVC-01,LOC-01,Priority,1.0
REQ-002710,EMP-00084,SVC-01,LOC-06,Priority,1.0
REQ-006469,EMP-00035,SVC-03,LOC-04,Priority,0.75
REQ-005666,EMP-00027,SVC-02,LOC-08,Priority,2.0
REQ-005137,EMP-00018,SVC-06,LOC-01,Priority,0.67
REQ-005899,EMP-00121,SVC-07,LOC-02,Priority,0.83
REQ-001872,EMP-00128,SVC-04,LOC-10,Priority,1.0
REQ-006103,EMP-00039,SVC-03,LOC-01,Priority,0.75
REQ-003222,EMP-00122,SVC-08,LOC-09,Priority,1.5
REQ-005557,EMP-00138,SVC-01,LOC-08,Priority,1.0
REQ-003540,EMP-00129,SVC-09,LOC-02,Priority,1.0
REQ-002028,EMP-00005,SVC-07,LOC-03,Priority,0.83
REQ-007079,EMP-00099,SVC-01,LOC-08,Priority,1.0
REQ-000488,EMP-00119,SVC-09,LOC-09,Priority,1.0
REQ-001261,EMP-00033,SVC-07,LOC-09,Priority,0.83
REQ-004891,EMP-00133,SVC-09,LOC-09,Priority,1.0
REQ-005188,EMP-00060,SVC-02,LOC-07,Priority,2.0
REQ-007116,EMP-00070,SVC-05,LOC-07,Priority,0.75
REQ-003909,EMP-00006,SVC-06,LOC-01,Priority,0.67
REQ-002776,EMP-00102,SVC-01,LOC-09,Priority,1.0
REQ-007143,EMP-00146,SVC-01,LOC-07,Priority,1.0
REQ-000479,EMP-00044,SVC-03,LOC-02,Priority,0.75
REQ-002972,EMP-00092,SVC-09,LOC-03,Priority,1.0
REQ-002860,EMP-00091,SVC-02,LOC-05,Priority,2.0
REQ-004930,EMP-00008,SVC-02,LOC-10,Priority,2.0
REQ-004061,EMP-00083,SVC-09,LOC-10,Priority,1.0
REQ-004841,EMP-00090,SVC-02,LOC-09,Priority,2.0
REQ-000645,EMP-00050,SVC-03,LOC-06,Priority,0.75
REQ-002867,EMP-00137,SVC-04,LOC-06,Priority,1.0
REQ-006709,EMP-00063,SVC-03,LOC-05,Priority,0.75
REQ-000464,EMP-00030,SVC-08,LOC-08,Priority,1.5
REQ-004213,EMP-00141,SVC-01,LOC-06,Priority,1.0
REQ-005713,EMP-00079,SVC-05,LOC-07,Priority,0.75
REQ-005954,EMP-00094,SVC-05,LOC-08,Priority,0.75
REQ-005233,EMP-00110,SVC-02,LOC-10,Priority,2.0
REQ-004720,EMP-00018,SVC-06,LOC-04,Priority,0.67
REQ-003305,EMP-00057,SVC-02,LOC-09,Priority,2.0
REQ-005890,EMP-00150,SVC-01,LOC-01,Priority,1.0
REQ-002573,EMP-00121,SVC-09,LOC-05,Priority,1.0
REQ-001482,EMP-00126,SVC-02,LOC-08,Priority,2.0
REQ-001388,EMP-00134,SVC-06,LOC-01,Priority,0.67
REQ-002938,EMP-00101,SVC-05,LOC-06,Priority,0.75
REQ-004848,EMP-00085,SVC-01,LOC-07,Priority,1.0
REQ-001595,EMP-00042,SVC-03,LOC-10,Priority,0.75
REQ-001357,EMP-00120,SVC-05,LOC-03,Priority,0.75
REQ-000797,EMP-00015,SVC-01,LOC-10,Priority,1.0
REQ-005297,EMP-00017,SVC-07,LOC-08,Priority,0.83
REQ-002270,EMP-00021,SVC-07,LOC-08,Priority,0.83
REQ-001547,EMP-00014,SVC-01,LOC-06,Priority,1.0
REQ-006155,EMP-00109,SVC-05,LOC-05,Priority,0.75
REQ-007119,EMP-00006,SVC-06,LOC-08,Priority,0.67
REQ-005941,EMP-00031,SVC-01,LOC-09,Priority,1.0
REQ-000821,EMP-00103,SVC-06,LOC-01,Priority,0.67
REQ-003735,EMP-00018,SVC-02,LOC-10,Priority,2.0
REQ-006529,EMP-00036,SVC-07,LOC-03,Priority,0.83
REQ-003498,EMP-00089,SVC-03,LOC-07,Priority,0.75
REQ-004229,EMP-00104,SVC-01,LOC-10,Priority,1.0
REQ-004512,EMP-00004,SVC-03,LOC-02,Routine,0.75
REQ-005573,EMP-00016,SVC-03,LOC-10,Routine,0.75
REQ-005199,EMP-00058,SVC-02,LOC-02,Routine,2.0
REQ-003688,EMP-00056,SVC-01,LOC-10,Routine,1.0
REQ-007270,EMP-00025,SVC-04,LOC-06,Routine,1.0
REQ-002359,EMP-00134,SVC-06,LOC-09,Routine,0.67
REQ-005102,EMP-00139,SVC-06,LOC-06,Routine,0.67
REQ-006938,EMP-00124,SVC-01,LOC-10,Routine,1.0
REQ-003303,EMP-00055,SVC-09,LOC-07,Routine,1.0
REQ-003747,EMP-00035,SVC-03,LOC-10,Routine,0.75
REQ-003470,EMP-00006,SVC-06,LOC-05,Routine,0.67
REQ-004803,EMP-00039,SVC-03,LOC-02,Routine,0.75
REQ-005594,EMP-00050,SVC-03,LOC-03,Routine,0.75
REQ-000343,EMP-00023,SVC-09,LOC-03,Routine,1.0
REQ-000872,EMP-00103,SVC-06,LOC-07,Routine,0.67
REQ-004236,EMP-00044,SVC-03,LOC-09,Routine,0.75
REQ-004492,EMP-00027,SVC-06,LOC-04,Routine,0.67
REQ-006215,EMP-00148,SVC-05,LOC-02,Routine,0.75
REQ-003715,EMP-00069,SVC-01,LOC-06,Routine,1.0
REQ-004568,EMP-00063,SVC-03,LOC-06,Routine,0.75
REQ-006509,EMP-00113,SVC-05,LOC-06,Routine,0.75
REQ-003780,EMP-00060,SVC-06,LOC-07,Routine,0.67
REQ-007246,EMP-00064,SVC-09,LOC-06,Routine,1.0
REQ-004273,EMP-00068,SVC-03,LOC-08,Routine,0.75
