request_id,service_type_name,location_id,urgency,rank,employee_id,match_score
REQ-000412,Nursing Review,LOC-07,Routine,1,EMP-00136,0.8169
REQ-000412,Nursing Review,LOC-07,Routine,2,EMP-00044,0.8093
REQ-000412,Nursing Review,LOC-07,Routine,3,EMP-00089,0.8019
REQ-000772,Care Plan Review,LOC-03,Urgent,1,EMP-00023,0.7141
REQ-000772,Care Plan Review,LOC-03,Urgent,2,EMP-00027,0.7064
REQ-000772,Care Plan Review,LOC-03,Urgent,3,EMP-00083,0.7027
REQ-001388,Transport Assistance,LOC-01,Priority,1,EMP-00027,0.803
REQ-001388,Transport Assistance,LOC-01,Priority,2,EMP-00006,0.7727
REQ-001388,Transport Assistance,LOC-01,Priority,3,EMP-00110,0.758
REQ-001466,Nursing Review,LOC-09,Routine,1,EMP-00044,0.9593
REQ-001466,Nursing Review,LOC-09,Routine,2,EMP-00039,0.8179
REQ-001466,Nursing Review,LOC-09,Routine,3,EMP-00083,0.7994
REQ-001828,In-Home Support Visit,LOC-01,Urgent,1,EMP-00047,0.9247
REQ-001828,In-Home Support Visit,LOC-01,Urgent,2,EMP-00098,0.8605
REQ-001828,In-Home Support Visit,LOC-01,Urgent,3,EMP-00146,0.7947
REQ-002359,Transport Assistance,LOC-09,Routine,1,EMP-00006,0.9227
REQ-002359,Transport Assistance,LOC-09,Routine,2,EMP-00126,0.8471
REQ-002359,Transport Assistance,LOC-09,Routine,3,EMP-00027,0.803
REQ-002715,Nursing Review,LOC-02,Urgent,1,EMP-00044,0.8093
REQ-002715,Nursing Review,LOC-02,Urgent,2,EMP-00083,0.7994
REQ-002715,Nursing Review,LOC-02,Urgent,3,EMP-00063,0.7817
REQ-002746,Community Access Outing,LOC-10,Routine,1,EMP-00018,0.8658
REQ-002746,Community Access Outing,LOC-10,Routine,2,EMP-00027,0.803
REQ-002746,Community Access Outing,LOC-10,Routine,3,EMP-00060,0.7875
REQ-002958,In-Home Support Visit,LOC-03,Routine,1,EMP-00023,0.8274
REQ-002958,In-Home Support Visit,LOC-03,Routine,2,EMP-00027,0.8197
REQ-002958,In-Home Support Visit,LOC-03,Routine,3,EMP-00133,0.8135
REQ-003181,Nursing Review,LOC-06,Priority,1,EMP-00044,0.8093
REQ-003181,Nursing Review,LOC-06,Priority,2,EMP-00083,0.7994
REQ-003181,Nursing Review,LOC-06,Priority,3,EMP-00063,0.7817
REQ-003240,Care Plan Review,LOC-03,Routine,1,EMP-00023,0.7141
REQ-003240,Care Plan Review,LOC-03,Routine,2,EMP-00027,0.7064
REQ-003240,Care Plan Review,LOC-03,Routine,3,EMP-00083,0.7027
REQ-003320,In-Home Support Visit,LOC-02,Routine,1,EMP-00102,0.8931
REQ-003320,In-Home Support Visit,LOC-02,Routine,2,EMP-00091,0.8302
REQ-003320,In-Home Support Visit,LOC-02,Routine,3,EMP-00056,0.8166
REQ-003416,In-Home Support Visit,LOC-02,Routine,1,EMP-00102,0.8931
REQ-003416,In-Home Support Visit,LOC-02,Routine,2,EMP-00091,0.8302
REQ-003416,In-Home Support Visit,LOC-02,Routine,3,EMP-00056,0.8166
REQ-003676,Nursing Review,LOC-08,Urgent,1,EMP-00044,0.8093
REQ-003676,Nursing Review,LOC-08,Urgent,2,EMP-00083,0.7994
REQ-003676,Nursing Review,LOC-08,Urgent,3,EMP-00063,0.7817
REQ-003953,Transport Assistance,LOC-07,Routine,1,EMP-00027,0.803
REQ-003953,Transport Assistance,LOC-07,Routine,2,EMP-00006,0.7727
REQ-003953,Transport Assistance,LOC-07,Routine,3,EMP-00110,0.758
REQ-004120,Nursing Review,LOC-01,Routine,1,EMP-00044,0.8093
REQ-004120,Nursing Review,LOC-01,Routine,2,EMP-00083,0.7994
REQ-004120,Nursing Review,LOC-01,Routine,3,EMP-00063,0.7817
REQ-004471,Behaviour Support Session,LOC-01,Routine,1,EMP-00023,0.8107
REQ-004471,Behaviour Support Session,LOC-01,Routine,2,EMP-00027,0.7364
REQ-004471,Behaviour Support Session,LOC-01,Routine,3,EMP-00121,0.7333
REQ-004610,Community Access Outing,LOC-09,Priority,1,EMP-00006,0.9227
REQ-004610,Community Access Outing,LOC-09,Priority,2,EMP-00126,0.8471
REQ-004610,Community Access Outing,LOC-09,Priority,3,EMP-00027,0.803
REQ-005713,Care Plan Review,LOC-07,Priority,1,EMP-00146,0.698
REQ-005713,Care Plan Review,LOC-07,Priority,2,EMP-00089,0.6886
REQ-005713,Care Plan Review,LOC-07,Priority,3,EMP-00066,0.6797
REQ-005968,Nursing Review,LOC-04,Urgent,1,EMP-00044,0.8093
REQ-005968,Nursing Review,LOC-04,Urgent,2,EMP-00083,0.7994
REQ-005968,Nursing Review,LOC-04,Urgent,3,EMP-00068,0.7902
REQ-006024,In-Home Support Visit,LOC-10,Routine,1,EMP-00085,0.9055
REQ-006024,In-Home Support Visit,LOC-10,Routine,2,EMP-00060,0.8542
REQ-006024,In-Home Support Visit,LOC-10,Routine,3,EMP-00065,0.8333
REQ-006166,Equipment Assessment,LOC-09,Priority,1,EMP-00018,0.7825
REQ-006166,Equipment Assessment,LOC-09,Priority,2,EMP-00041,0.7671
REQ-006166,Equipment Assessment,LOC-09,Priority,3,EMP-00112,0.7381
REQ-006493,Complex Care Visit,LOC-09,Urgent,1,EMP-00122,0.7789
REQ-006493,Complex Care Visit,LOC-09,Urgent,2,EMP-00118,0.7743
REQ-006493,Complex Care Visit,LOC-09,Urgent,3,EMP-00057,0.7632
REQ-007007,Allied Health Session,LOC-02,Routine,1,EMP-00124,0.8366
REQ-007007,Allied Health Session,LOC-02,Routine,2,EMP-00021,0.7808
REQ-007007,Allied Health Session,LOC-02,Routine,3,EMP-00008,0.7738
REQ-007234,In-Home Support Visit,LOC-03,Priority,1,EMP-00023,0.8274
REQ-007234,In-Home Support Visit,LOC-03,Priority,2,EMP-00027,0.8197
REQ-007234,In-Home Support Visit,LOC-03,Priority,3,EMP-00133,0.8135
REQ-000900,Transport Assistance,LOC-06,Routine,1,EMP-00110,0.908
REQ-000900,Transport Assistance,LOC-06,Routine,2,EMP-00027,0.803
REQ-000900,Transport Assistance,LOC-06,Routine,3,EMP-00006,0.7727
REQ-001473,Care Plan Review,LOC-01,Priority,1,EMP-00025,0.7159
REQ-001473,Care Plan Review,LOC-01,Priority,2,EMP-00098,0.6805
REQ-001473,Care Plan Review,LOC-01,Priority,3,EMP-00047,0.678
REQ-002069,Care Plan Review,LOC-06,Priority,1,EMP-00069,0.6798
REQ-002069,Care Plan Review,LOC-06,Priority,2,EMP-00110,0.6613
REQ-002069,Care Plan Review,LOC-06,Priority,3,EMP-00096,0.6512
REQ-002323,Equipment Assessment,LOC-01,Urgent,1,EMP-00025,0.8292
REQ-002323,Equipment Assessment,LOC-01,Urgent,2,EMP-00018,0.7825
REQ-002323,Equipment Assessment,LOC-01,Urgent,3,EMP-00041,0.7671
REQ-003513,Community Access Outing,LOC-03,Urgent,1,EMP-00027,0.953
REQ-003513,Community Access Outing,LOC-03,Urgent,2,EMP-00006,0.7727
REQ-003513,Community Access Outing,LOC-03,Urgent,3,EMP-00110,0.758
REQ-003528,Transport Assistance,LOC-08,Routine,1,EMP-00058,0.857
REQ-003528,Transport Assistance,LOC-08,Routine,2,EMP-00027,0.803
REQ-003528,Transport Assistance,LOC-08,Routine,3,EMP-00006,0.7727
REQ-003849,Care Plan Review,LOC-06,Priority,1,EMP-00069,0.6798
