appointment_id,location_id,service_type_id,scheduled_date,travel_minutes,override_flag,urgency,complexity_score,cancelled_label,day_of_week,is_weekend,month,is_winter,week_of_year,day_index
APT-000001,LOC-05,SVC-02,2025-08-02,4,False,Routine,34.2,1,5,1,8,1,31,1
APT-000003,LOC-05,SVC-01,2025-08-01,33,False,Routine,9.9,1,4,0,8,1,31,0
APT-000004,LOC-10,SVC-02,2025-08-01,15,False,Routine,85.4,1,4,0,8,1,31,0
APT-000005,LOC-10,SVC-02,2025-08-01,16,False,Urgent,26.6,1,4,0,8,1,31,0
APT-000006,LOC-07,SVC-07,2025-08-01,61,False,Priority,71.5,1,4,0,8,1,31,0
APT-000009,LOC-06,SVC-07,2025-08-02,28,False,Routine,62.1,1,5,1,8,1,31,1
APT-000011,LOC-02,SVC-07,2025-08-02,18,False,Routine,37.6,1,5,1,8,1,31,1
APT-000014,LOC-03,SVC-04,2025-08-01,6,False,Priority,7.6,1,4,0,8,1,31,0
APT-000015,LOC-09,SVC-03,2025-08-02,74,False,Routine,12.3,1,5,1,8,1,31,1
APT-000018,LOC-01,SVC-07,2025-08-02,19,False,Priority,42.9,1,5,1,8,1,31,1
APT-000022,LOC-06,SVC-03,2025-08-02,30,False,Priority,33.4,1,5,1,8,1,31,1
APT-000025,LOC-03,SVC-05,2025-08-02,33,False,Emergency,69.4,1,5,1,8,1,31,1
APT-000028,LOC-04,SVC-01,2025-08-02,3,False,Routine,88.0,1,5,1,8,1,31,1
APT-000029,LOC-05,SVC-02,2025-08-03,28,False,Routine,46.5,1,6,1,8,1,31,2
APT-000031,LOC-06,SVC-02,2025-08-06,49,False,Routine,36.5,1,2,0,8,1,32,5
APT-000036,LOC-09,SVC-06,2025-08-04,47,False,Routine,26.2,1,0,0,8,1,32,3
APT-000037,LOC-06,SVC-06,2025-08-05,3,False,Priority,65.8,1,1,0,8,1,32,4
APT-000041,LOC-08,SVC-02,2025-08-04,19,False,Priority,44.9,1,0,0,8,1,32,3
APT-000044,LOC-07,SVC-02,2025-08-05,21,False,Priority,53.3,1,1,0,8,1,32,4
APT-000045,LOC-01,SVC-07,2025-08-05,35,False,Routine,68.4,1,1,0,8,1,32,4
APT-000046,LOC-07,SVC-05,2025-08-05,7,False,Routine,42.8,1,1,0,8,1,32,4
APT-000058,LOC-01,SVC-01,2025-08-06,3,False,Routine,41.2,1,2,0,8,1,32,5
APT-000061,LOC-03,SVC-04,2025-08-04,25,False,Priority,36.6,1,0,0,8,1,32,3
APT-000063,LOC-08,SVC-02,2025-08-05,51,False,Routine,10.4,1,1,0,8,1,32,4
APT-000064,LOC-04,SVC-05,2025-08-05,17,False,Routine,17.7,1,1,0,8,1,32,4
APT-000068,LOC-06,SVC-01,2025-08-06,53,False,Priority,89.3,1,2,0,8,1,32,5
APT-000076,LOC-05,SVC-01,2025-08-06,35,False,Routine,70.3,1,2,0,8,1,32,5
APT-000084,LOC-08,SVC-01,2025-08-07,41,False,Routine,58.1,1,3,0,8,1,32,6
APT-000085,LOC-02,SVC-04,2025-08-05,44,False,Priority,67.4,1,1,0,8,1,32,4
APT-000086,LOC-03,SVC-05,2025-08-05,11,False,Routine,37.4,1,1,0,8,1,32,4
APT-000092,LOC-05,SVC-02,2025-08-07,13,False,Urgent,67.4,1,3,0,8,1,32,6
APT-000094,LOC-10,SVC-05,2025-08-07,16,False,Routine,11.3,1,3,0,8,1,32,6
APT-000095,LOC-08,SVC-05,2025-08-06,21,False,Routine,18.4,1,2,0,8,1,32,5
APT-000106,LOC-02,SVC-05,2025-08-06,3,False,Priority,31.1,1,2,0,8,1,32,5
APT-000110,LOC-07,SVC-06,2025-08-07,42,True,Urgent,55.5,1,3,0,8,1,32,6
APT-000113,LOC-08,SVC-06,2025-08-07,12,False,Routine,37.2,1,3,0,8,1,32,6
APT-000115,LOC-08,SVC-02,2025-08-11,15,False,Priority,34.5,1,0,0,8,1,33,10
APT-000130,LOC-10,SVC-05,2025-08-08,32,False,Routine,11.5,1,4,0,8,1,32,7
APT-000133,LOC-02,SVC-01,2025-08-07,16,False,Routine,32.8,1,3,0,8,1,32,6
APT-000134,LOC-07,SVC-09,2025-08-07,61,False,Priority,91.2,1,3,0,8,1,32,6
APT-000136,LOC-08,SVC-01,2025-08-07,39,True,Routine,16.3,1,3,0,8,1,32,6
APT-000138,LOC-10,SVC-05,2025-08-08,22,False,Routine,72.2,1,4,0,8,1,32,7
APT-000140,LOC-06,SVC-06,2025-08-11,33,False,Routine,40.8,1,0,0,8,1,33,10
APT-000141,LOC-10,SVC-06,2025-08-08,26,False,Routine,14.3,1,4,0,8,1,32,7
APT-000145,LOC-05,SVC-01,2025-08-08,12,False,Priority,13.2,1,4,0,8,1,32,7
APT-000147,LOC-06,SVC-05,2025-08-09,12,False,Routine,61.1,1,5,1,8,1,32,8
APT-000148,LOC-04,SVC-09,2025-08-09,20,False,Routine,45.7,1,5,1,8,1,32,8
APT-000152,LOC-04,SVC-02,2025-08-08,21,False,Routine,14.6,1,4,0,8,1,32,7
APT-000153,LOC-02,SVC-05,2025-08-08,31,False,Routine,16.6,1,4,0,8,1,32,7
APT-000154,LOC-01,SVC-03,2025-08-09,3,False,Routine,34.6,1,5,1,8,1,32,8
APT-000155,LOC-01,SVC-06,2025-08-08,38,False,Priority,39.2,1,4,0,8,1,32,7
APT-000159,LOC-10,SVC-07,2025-08-08,28,False,Priority,59.4,1,4,0,8,1,32,7
APT-000160,LOC-10,SVC-03,2025-08-08,24,False,Routine,65.0,1,4,0,8,1,32,7
APT-000161,LOC-05,SVC-06,2025-08-10,7,False,Routine,33.1,1,6,1,8,1,32,9
APT-000162,LOC-09,SVC-06,2025-08-09,21,False,Routine,43.5,1,5,1,8,1,32,8
APT-000163,LOC-05,SVC-07,2025-08-11,8,False,Routine,64.8,1,0,0,8,1,33,10
APT-000167,LOC-09,SVC-02,2025-08-12,15,False,Priority,59.2,1,1,0,8,1,33,11
APT-000168,LOC-06,SVC-05,2025-08-11,30,False,Routine,8.3,1,0,0,8,1,33,10
APT-000178,LOC-06,SVC-08,2025-08-10,3,True,Routine,16.1,1,6,1,8,1,32,9
APT-000181,LOC-05,SVC-02,2025-08-10,14,False,Priority,65.3,1,6,1,8,1,32,9
APT-000184,LOC-01,SVC-07,2025-08-11,8,False,Routine,7.9,1,0,0,8,1,33,10
APT-000189,LOC-10,SVC-03,2025-08-11,3,False,Routine,25.9,1,0,0,8,1,33,10
APT-000190,LOC-06,SVC-06,2025-08-12,30,False,Urgent,78.1,1,1,0,8,1,33,11
APT-000198,LOC-05,SVC-09,2025-08-11,14,False,Urgent,80.4,1,0,0,8,1,33,10
APT-000205,LOC-03,SVC-02,2025-08-12,24,False,Routine,85.7,1,1,0,8,1,33,11
APT-000207,LOC-03,SVC-05,2025-08-11,38,False,Routine,15.9,1,0,0,8,1,33,10
APT-000208,LOC-09,SVC-04,2025-08-12,23,True,Routine,38.0,1,1,0,8,1,33,11
APT-000209,LOC-09,SVC-05,2025-08-12,17,False,Routine,67.0,1,1,0,8,1,33,11
APT-000215,LOC-05,SVC-05,2025-08-13,29,True,Routine,48.4,1,2,0,8,1,33,12
APT-000227,LOC-03,SVC-06,2025-08-12,29,False,Routine,87.6,1,1,0,8,1,33,11
APT-000232,LOC-04,SVC-02,2025-08-14,16,False,Priority,65.4,1,3,0,8,1,33,13
APT-000233,LOC-08,SVC-06,2025-08-13,18,False,Routine,9.6,1,2,0,8,1,33,12
APT-000237,LOC-10,SVC-02,2025-08-14,30,False,Routine,12.9,1,3,0,8,1,33,13
APT-000238,LOC-09,SVC-04,2025-08-14,23,False,Routine,65.6,1,3,0,8,1,33,13
APT-000239,LOC-03,SVC-02,2025-08-15,3,False,Routine,65.0,1,4,0,8,1,33,14
APT-000243,LOC-06,SVC-01,2025-08-15,27,False,Routine,38.9,1,4,0,8,1,33,14
APT-000244,LOC-09,SVC-07,2025-08-14,47,False,Routine,36.9,1,3,0,8,1,33,13
APT-000251,LOC-01,SVC-04,2025-08-15,45,False,Routine,60.9,1,4,0,8,1,33,14
