request_id,location_id,service_type_id,urgency,requested_by,requested_channel,requested_date,complexity_score,complexity_tier,day_of_week,is_weekend,month,is_winter,week_of_year,day_index
REQ-000001,LOC-05,SVC-02,Routine,Client,Portal,2025-08-01,34.2,Medium,4,0,8,1,31,0
REQ-000002,LOC-05,SVC-01,Routine,Client,Phone,2025-08-01,35.2,Medium,4,0,8,1,31,0
REQ-000003,LOC-05,SVC-01,Routine,Client,Phone,2025-08-01,9.9,Low,4,0,8,1,31,0
REQ-000004,LOC-10,SVC-02,Routine,Case Manager,Portal,2025-08-01,85.4,Critical,4,0,8,1,31,0
REQ-000005,LOC-10,SVC-02,Urgent,Case Manager,Portal,2025-08-01,26.6,Low,4,0,8,1,31,0
REQ-000006,LOC-07,SVC-07,Priority,Client,Portal,2025-08-01,71.5,High,4,0,8,1,31,0
REQ-000009,LOC-06,SVC-07,Routine,Family Member,Phone,2025-08-01,62.1,High,4,0,8,1,31,0
REQ-000011,LOC-08,SVC-06,Routine,Client,Portal,2025-08-01,15.8,Low,4,0,8,1,31,0
REQ-000012,LOC-02,SVC-07,Routine,Client,Portal,2025-08-01,37.6,Medium,4,0,8,1,31,0
REQ-000013,LOC-07,SVC-09,Priority,GP / Clinician,Phone,2025-08-01,57.2,High,4,0,8,1,31,0
REQ-000015,LOC-10,SVC-05,Routine,Family Member,Phone,2025-08-01,65.1,High,4,0,8,1,31,0
REQ-000016,LOC-03,SVC-04,Priority,Client,Portal,2025-08-01,7.6,Low,4,0,8,1,31,0
REQ-000017,LOC-09,SVC-03,Routine,Client,Portal,2025-08-01,12.3,Low,4,0,8,1,31,0
REQ-000018,LOC-10,SVC-04,Urgent,Client,Phone,2025-08-01,11.8,Low,4,0,8,1,31,0
REQ-000020,LOC-01,SVC-07,Priority,Case Manager,Phone,2025-08-01,42.9,Medium,4,0,8,1,31,0
REQ-000021,LOC-06,SVC-09,Routine,Client,Case Manager,2025-08-01,37.8,Medium,4,0,8,1,31,0
REQ-000022,LOC-09,SVC-05,Routine,Family Member,Phone,2025-08-01,41.1,Medium,4,0,8,1,31,0
REQ-000023,LOC-02,SVC-01,Priority,Client,Phone,2025-08-02,38.3,Medium,5,1,8,1,31,1
REQ-000024,LOC-06,SVC-03,Priority,Family Member,Referral,2025-08-02,33.4,Medium,5,1,8,1,31,1
REQ-000026,LOC-07,SVC-01,Routine,Client,Portal,2025-08-02,12.8,Low,5,1,8,1,31,1
REQ-000027,LOC-01,SVC-04,Routine,Client,Phone,2025-08-02,54.7,High,5,1,8,1,31,1
REQ-000028,LOC-03,SVC-05,Emergency,Case Manager,Referral,2025-08-02,69.4,High,5,1,8,1,31,1
REQ-000029,LOC-03,SVC-09,Priority,Client,Portal,2025-08-02,7.8,Low,5,1,8,1,31,1
REQ-000030,LOC-01,SVC-01,Routine,Family Member,Phone,2025-08-02,34.2,Low,5,1,8,1,31,1
REQ-000031,LOC-04,SVC-01,Routine,GP / Clinician,Referral,2025-08-02,88.0,Critical,5,1,8,1,31,1
REQ-000033,LOC-05,SVC-02,Routine,Client,Phone,2025-08-02,46.5,Medium,5,1,8,1,31,1
REQ-000034,LOC-05,SVC-07,Urgent,Client,Phone,2025-08-03,34.6,Medium,6,1,8,1,31,2
REQ-000035,LOC-06,SVC-02,Routine,Case Manager,Phone,2025-08-03,36.5,Medium,6,1,8,1,31,2
REQ-000036,LOC-07,SVC-03,Priority,Client,Referral,2025-08-03,34.4,Medium,6,1,8,1,31,2
REQ-000037,LOC-01,SVC-02,Priority,Case Manager,Portal,2025-08-03,35.4,Medium,6,1,8,1,31,2
REQ-000038,LOC-06,SVC-01,Routine,Client,Phone,2025-08-03,29.4,Medium,6,1,8,1,31,2
REQ-000039,LOC-02,SVC-07,Urgent,Case Manager,Referral,2025-08-03,76.1,High,6,1,8,1,31,2
REQ-000041,LOC-09,SVC-06,Routine,Client,Phone,2025-08-03,26.2,Medium,6,1,8,1,31,2
REQ-000042,LOC-06,SVC-06,Priority,Client,Case Manager,2025-08-03,65.8,High,6,1,8,1,31,2
REQ-000043,LOC-10,SVC-04,Routine,Case Manager,Phone,2025-08-04,11.7,Low,0,0,8,1,32,3
REQ-000044,LOC-02,SVC-01,Urgent,Family Member,Phone,2025-08-04,54.7,High,0,0,8,1,32,3
REQ-000045,LOC-10,SVC-01,Routine,Client,Case Manager,2025-08-04,42.1,Medium,0,0,8,1,32,3
REQ-000046,LOC-08,SVC-02,Priority,Client,Phone,2025-08-04,44.9,Medium,0,0,8,1,32,3
REQ-000047,LOC-10,SVC-08,Priority,Client,Referral,2025-08-04,36.1,Medium,0,0,8,1,32,3
REQ-000048,LOC-07,SVC-05,Priority,Client,Phone,2025-08-04,39.4,Medium,0,0,8,1,32,3
REQ-000049,LOC-07,SVC-02,Priority,Client,Referral,2025-08-04,53.3,High,0,0,8,1,32,3
REQ-000050,LOC-01,SVC-07,Routine,Family Member,Referral,2025-08-04,68.4,High,0,0,8,1,32,3
REQ-000051,LOC-07,SVC-05,Routine,Client,Portal,2025-08-04,42.8,Medium,0,0,8,1,32,3
REQ-000052,LOC-08,SVC-07,Priority,Client,Referral,2025-08-04,62.2,High,0,0,8,1,32,3
REQ-000053,LOC-07,SVC-09,Priority,Family Member,Referral,2025-08-04,46.6,Medium,0,0,8,1,32,3
REQ-000054,LOC-04,SVC-03,Routine,Client,Portal,2025-08-04,34.3,Medium,0,0,8,1,32,3
REQ-000055,LOC-06,SVC-03,Priority,Case Manager,Case Manager,2025-08-04,69.8,High,0,0,8,1,32,3
REQ-000056,LOC-04,SVC-08,Priority,Client,Portal,2025-08-04,7.5,Low,0,0,8,1,32,3
REQ-000057,LOC-08,SVC-05,Priority,Case Manager,Phone,2025-08-04,65.7,High,0,0,8,1,32,3
REQ-000058,LOC-01,SVC-07,Urgent,Family Member,Phone,2025-08-04,14.2,Low,0,0,8,1,32,3
REQ-000059,LOC-01,SVC-03,Routine,Case Manager,Portal,2025-08-04,30.5,Medium,0,0,8,1,32,3
REQ-000060,LOC-01,SVC-02,Priority,Family Member,Referral,2025-08-04,61.0,High,0,0,8,1,32,3
REQ-000061,LOC-02,SVC-01,Priority,GP / Clinician,Phone,2025-08-04,91.8,Critical,0,0,8,1,32,3
REQ-000062,LOC-06,SVC-05,Routine,Client,Phone,2025-08-04,45.2,Medium,0,0,8,1,32,3
REQ-000064,LOC-01,SVC-01,Routine,Client,Referral,2025-08-04,41.2,Medium,0,0,8,1,32,3
REQ-000065,LOC-08,SVC-05,Emergency,Family Member,Phone,2025-08-04,79.6,Critical,0,0,8,1,32,3
REQ-000066,LOC-08,SVC-02,Routine,Family Member,Portal,2025-08-04,3.2,Low,0,0,8,1,32,3
REQ-000067,LOC-03,SVC-04,Priority,Case Manager,Referral,2025-08-04,36.6,Medium,0,0,8,1,32,3
REQ-000069,LOC-08,SVC-02,Routine,Family Member,Portal,2025-08-05,10.4,Low,1,0,8,1,32,4
REQ-000070,LOC-04,SVC-05,Routine,Client,Portal,2025-08-05,17.7,Low,1,0,8,1,32,4
REQ-000071,LOC-08,SVC-01,Emergency,Family Member,Portal,2025-08-05,12.4,Low,1,0,8,1,32,4
REQ-000072,LOC-01,SVC-03,Urgent,Case Manager,Referral,2025-08-05,64.4,High,1,0,8,1,32,4
REQ-000073,LOC-06,SVC-05,Routine,Family Member,Portal,2025-08-05,31.8,Medium,1,0,8,1,32,4
REQ-000074,LOC-06,SVC-01,Priority,Family Member,Case Manager,2025-08-05,89.3,Critical,1,0,8,1,32,4
REQ-000075,LOC-02,SVC-03,Priority,GP / Clinician,Case Manager,2025-08-05,52.9,High,1,0,8,1,32,4
REQ-000076,LOC-03,SVC-07,Routine,Client,Portal,2025-08-05,21.0,Low,1,0,8,1,32,4
REQ-000078,LOC-10,SVC-06,Priority,Case Manager,Referral,2025-08-05,57.7,High,1,0,8,1,32,4
REQ-000079,LOC-03,SVC-01,Urgent,Family Member,Phone,2025-08-05,84.0,Critical,1,0,8,1,32,4
REQ-000080,LOC-01,SVC-01,Routine,Family Member,Portal,2025-08-05,37.2,Medium,1,0,8,1,32,4
REQ-000081,LOC-03,SVC-02,Urgent,Case Manager,Phone,2025-08-05,46.3,Medium,1,0,8,1,32,4
REQ-000082,LOC-06,SVC-05,Emergency,Client,Portal,2025-08-05,51.0,High,1,0,8,1,32,4
REQ-000083,LOC-05,SVC-01,Routine,Family Member,Referral,2025-08-05,70.3,High,1,0,8,1,32,4
REQ-000084,LOC-06,SVC-01,Urgent,Client,Case Manager,2025-08-05,32.5,Medium,1,0,8,1,32,4
REQ-000086,LOC-10,SVC-09,Routine,Client,Case Manager,2025-08-05,12.2,Low,1,0,8,1,32,4
REQ-000087,LOC-09,SVC-02,Priority,Case Manager,Phone,2025-08-05,40.4,Medium,1,0,8,1,32,4
REQ-000088,LOC-07,SVC-05,Routine,Family Member,Case Manager,2025-08-05,8.5,Low,1,0,8,1,32,4
REQ-000089,LOC-07,SVC-05,Routine,Client,Phone,2025-08-05,17.1,Low,1,0,8,1,32,4
REQ-000090,LOC-03,SVC-08,Routine,Client,Portal,2025-08-05,16.0,Low,1,0,8,1,32,4
REQ-000091,LOC-10,SVC-03,Routine,Client,Portal,2025-08-05,24.5,Low,1,0,8,1,32,4
REQ-000092,LOC-08,SVC-01,Routine,Family Member,Phone,2025-08-05,58.1,High,1,0,8,1,32,4
REQ-000093,LOC-02,SVC-04,Priority,Case Manager,Referral,2025-08-05,67.4,High,1,0,8,1,32,4
REQ-000094,LOC-03,SVC-05,Routine,Case Manager,Phone,2025-08-05,37.4,Medium,1,0,8,1,32,4
REQ-000095,LOC-04,SVC-05,Routine,Family Member,Portal,2025-08-05,14.9,Low,1,0,8,1,32,4
REQ-000096,LOC-04,SVC-02,Priority,Client,Referral,2025-08-06,40.3,Medium,2,0,8,1,32,5
REQ-000097,LOC-10,SVC-05,Priority,Family Member,Phone,2025-08-06,41.5,Medium,2,0,8,1,32,5
REQ-000098,LOC-01,SVC-09,Routine,Case Manager,Case Manager,2025-08-06,10.0,Low,2,0,8,1,32,5
REQ-000099,LOC-09,SVC-05,Routine,Client,Portal,2025-08-06,41.3,Medium,2,0,8,1,32,5
REQ-000100,LOC-05,SVC-02,Urgent,Case Manager,Referral,2025-08-06,67.4,High,2,0,8,1,32,5
REQ-000101,LOC-09,SVC-01,Routine,Client,Phone,2025-08-06,30.1,Medium,2,0,8,1,32,5
REQ-000102,LOC-10,SVC-05,Routine,Client,Referral,2025-08-06,11.3,Low,2,0,8,1,32,5
REQ-000103,LOC-08,SVC-05,Routine,Case Manager,Referral,2025-08-06,18.4,Low,2,0,8,1,32,5
REQ-000104,LOC-04,SVC-04,Priority,Family Member,Referral,2025-08-06,62.7,High,2,0,8,1,32,5
REQ-000105,LOC-03,SVC-01,Routine,Client,Portal,2025-08-06,18.4,Low,2,0,8,1,32,5
REQ-000106,LOC-10,SVC-02,Priority,Family Member,Portal,2025-08-06,65.6,High,2,0,8,1,32,5
REQ-000108,LOC-10,SVC-05,Routine,Family Member,Phone,2025-08-06,22.2,Low,2,0,8,1,32,5
REQ-000109,LOC-08,SVC-05,Urgent,Client,Portal,2025-08-06,79.2,Critical,2,0,8,1,32,5
REQ-000110,LOC-05,SVC-07,Routine,Client,Referral,2025-08-06,86.4,Critical,2,0,8,1,32,5
REQ-000111,LOC-09,SVC-05,Emergency,Family Member,Phone,2025-08-06,56.5,High,2,0,8,1,32,5
REQ-000112,LOC-03,SVC-01,Priority,Client,Portal,2025-08-06,26.1,Low,2,0,8,1,32,5
REQ-000113,LOC-08,SVC-01,Routine,Client,Portal,2025-08-06,12.4,Low,2,0,8,1,32,5
REQ-000115,LOC-02,SVC-05,Priority,Client,Portal,2025-08-06,31.1,Medium,2,0,8,1,32,5
REQ-000116,LOC-08,SVC-07,Urgent,Client,Case Manager,2025-08-06,39.1,Medium,2,0,8,1,32,5
