request_id,location_id,service_type_id,urgency,complexity_score,requested_date,sla_target_hours,sla_met_flag,day_of_week,is_weekend,month,is_winter,week_of_year,day_index,breach_label
REQ-000001,LOC-05,SVC-02,Routine,34.2,2025-08-01,168,True,4,0,8,1,31,0,0
REQ-000002,LOC-05,SVC-01,Routine,35.2,2025-08-01,168,True,4,0,8,1,31,0,0
REQ-000003,LOC-05,SVC-01,Routine,9.9,2025-08-01,168,True,4,0,8,1,31,0,0
REQ-000004,LOC-10,SVC-02,Routine,85.4,2025-08-01,218,True,4,0,8,1,31,0,0
REQ-000005,LOC-10,SVC-02,Urgent,26.6,2025-08-01,31,True,4,0,8,1,31,0,0
REQ-000006,LOC-07,SVC-07,Priority,71.5,2025-08-01,79,True,4,0,8,1,31,0,0
REQ-000008,LOC-01,SVC-09,Urgent,36.3,2025-08-01,24,True,4,0,8,1,31,0,0
REQ-000009,LOC-06,SVC-07,Routine,62.1,2025-08-01,185,True,4,0,8,1,31,0,0
REQ-000011,LOC-08,SVC-06,Routine,15.8,2025-08-01,218,True,4,0,8,1,31,0,0
REQ-000012,LOC-02,SVC-07,Routine,37.6,2025-08-01,168,True,4,0,8,1,31,0,0
REQ-000013,LOC-07,SVC-09,Priority,57.2,2025-08-01,79,True,4,0,8,1,31,0,0
REQ-000015,LOC-10,SVC-05,Routine,65.1,2025-08-01,218,True,4,0,8,1,31,0,0
REQ-000016,LOC-03,SVC-04,Priority,7.6,2025-08-01,72,True,4,0,8,1,31,0,0
REQ-000017,LOC-09,SVC-03,Routine,12.3,2025-08-01,218,True,4,0,8,1,31,0,0
REQ-000018,LOC-10,SVC-04,Urgent,11.8,2025-08-01,31,True,4,0,8,1,31,0,0
REQ-000020,LOC-01,SVC-07,Priority,42.9,2025-08-01,72,True,4,0,8,1,31,0,0
REQ-000021,LOC-06,SVC-09,Routine,37.8,2025-08-01,185,True,4,0,8,1,31,0,0
REQ-000022,LOC-09,SVC-05,Routine,41.1,2025-08-01,218,True,4,0,8,1,31,0,0
REQ-000023,LOC-02,SVC-01,Priority,38.3,2025-08-02,72,True,5,1,8,1,31,1,0
REQ-000024,LOC-06,SVC-03,Priority,33.4,2025-08-02,79,True,5,1,8,1,31,1,0
REQ-000026,LOC-07,SVC-01,Routine,12.8,2025-08-02,185,True,5,1,8,1,31,1,0
REQ-000027,LOC-01,SVC-04,Routine,54.7,2025-08-02,168,True,5,1,8,1,31,1,0
REQ-000028,LOC-03,SVC-05,Emergency,69.4,2025-08-02,4,False,5,1,8,1,31,1,1
REQ-000029,LOC-03,SVC-09,Priority,7.8,2025-08-02,72,True,5,1,8,1,31,1,0
REQ-000030,LOC-01,SVC-01,Routine,34.2,2025-08-02,168,True,5,1,8,1,31,1,0
REQ-000031,LOC-04,SVC-01,Routine,88.0,2025-08-02,168,True,5,1,8,1,31,1,0
REQ-000033,LOC-05,SVC-02,Routine,46.5,2025-08-02,168,True,5,1,8,1,31,1,0
REQ-000034,LOC-05,SVC-07,Urgent,34.6,2025-08-03,24,True,6,1,8,1,31,2,0
REQ-000035,LOC-06,SVC-02,Routine,36.5,2025-08-03,185,True,6,1,8,1,31,2,0
REQ-000036,LOC-07,SVC-03,Priority,34.4,2025-08-03,79,True,6,1,8,1,31,2,0
REQ-000037,LOC-01,SVC-02,Priority,35.4,2025-08-03,72,True,6,1,8,1,31,2,0
REQ-000038,LOC-06,SVC-01,Routine,29.4,2025-08-03,185,True,6,1,8,1,31,2,0
REQ-000039,LOC-02,SVC-07,Urgent,76.1,2025-08-03,24,True,6,1,8,1,31,2,0
REQ-000041,LOC-09,SVC-06,Routine,26.2,2025-08-03,218,True,6,1,8,1,31,2,0
REQ-000042,LOC-06,SVC-06,Priority,65.8,2025-08-03,79,True,6,1,8,1,31,2,0
REQ-000043,LOC-10,SVC-04,Routine,11.7,2025-08-04,218,True,0,0,8,1,32,3,0
REQ-000044,LOC-02,SVC-01,Urgent,54.7,2025-08-04,24,False,0,0,8,1,32,3,1
REQ-000045,LOC-10,SVC-01,Routine,42.1,2025-08-04,218,True,0,0,8,1,32,3,0
REQ-000046,LOC-08,SVC-02,Priority,44.9,2025-08-04,94,True,0,0,8,1,32,3,0
REQ-000047,LOC-10,SVC-08,Priority,36.1,2025-08-04,94,True,0,0,8,1,32,3,0
REQ-000048,LOC-07,SVC-05,Priority,39.4,2025-08-04,79,True,0,0,8,1,32,3,0
REQ-000049,LOC-07,SVC-02,Priority,53.3,2025-08-04,79,True,0,0,8,1,32,3,0
REQ-000050,LOC-01,SVC-07,Routine,68.4,2025-08-04,168,True,0,0,8,1,32,3,0
REQ-000051,LOC-07,SVC-05,Routine,42.8,2025-08-04,185,True,0,0,8,1,32,3,0
REQ-000052,LOC-08,SVC-07,Priority,62.2,2025-08-04,94,True,0,0,8,1,32,3,0
REQ-000053,LOC-07,SVC-09,Priority,46.6,2025-08-04,79,True,0,0,8,1,32,3,0
REQ-000054,LOC-04,SVC-03,Routine,34.3,2025-08-04,168,True,0,0,8,1,32,3,0
REQ-000055,LOC-06,SVC-03,Priority,69.8,2025-08-04,79,True,0,0,8,1,32,3,0
REQ-000056,LOC-04,SVC-08,Priority,7.5,2025-08-04,72,True,0,0,8,1,32,3,0
REQ-000057,LOC-08,SVC-05,Priority,65.7,2025-08-04,94,True,0,0,8,1,32,3,0
REQ-000058,LOC-01,SVC-07,Urgent,14.2,2025-08-04,24,False,0,0,8,1,32,3,1
REQ-000059,LOC-01,SVC-03,Routine,30.5,2025-08-04,168,True,0,0,8,1,32,3,0
REQ-000060,LOC-01,SVC-02,Priority,61.0,2025-08-04,72,True,0,0,8,1,32,3,0
REQ-000061,LOC-02,SVC-01,Priority,91.8,2025-08-04,72,False,0,0,8,1,32,3,1
REQ-000062,LOC-06,SVC-05,Routine,45.2,2025-08-04,185,True,0,0,8,1,32,3,0
REQ-000064,LOC-01,SVC-01,Routine,41.2,2025-08-04,168,True,0,0,8,1,32,3,0
REQ-000065,LOC-08,SVC-05,Emergency,79.6,2025-08-04,5,False,0,0,8,1,32,3,1
REQ-000066,LOC-08,SVC-02,Routine,3.2,2025-08-04,218,True,0,0,8,1,32,3,0
REQ-000067,LOC-03,SVC-04,Priority,36.6,2025-08-04,72,True,0,0,8,1,32,3,0
REQ-000068,LOC-09,SVC-09,Priority,36.3,2025-08-04,94,True,0,0,8,1,32,3,0
REQ-000069,LOC-08,SVC-02,Routine,10.4,2025-08-05,218,True,1,0,8,1,32,4,0
REQ-000070,LOC-04,SVC-05,Routine,17.7,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000071,LOC-08,SVC-01,Emergency,12.4,2025-08-05,5,False,1,0,8,1,32,4,1
REQ-000072,LOC-01,SVC-03,Urgent,64.4,2025-08-05,24,False,1,0,8,1,32,4,1
REQ-000073,LOC-06,SVC-05,Routine,31.8,2025-08-05,185,True,1,0,8,1,32,4,0
REQ-000074,LOC-06,SVC-01,Priority,89.3,2025-08-05,79,True,1,0,8,1,32,4,0
REQ-000075,LOC-02,SVC-03,Priority,52.9,2025-08-05,72,True,1,0,8,1,32,4,0
REQ-000076,LOC-03,SVC-07,Routine,21.0,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000078,LOC-10,SVC-06,Priority,57.7,2025-08-05,94,True,1,0,8,1,32,4,0
REQ-000079,LOC-03,SVC-01,Urgent,84.0,2025-08-05,24,True,1,0,8,1,32,4,0
REQ-000080,LOC-01,SVC-01,Routine,37.2,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000081,LOC-03,SVC-02,Urgent,46.3,2025-08-05,24,True,1,0,8,1,32,4,0
REQ-000082,LOC-06,SVC-05,Emergency,51.0,2025-08-05,4,False,1,0,8,1,32,4,1
REQ-000083,LOC-05,SVC-01,Routine,70.3,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000084,LOC-06,SVC-01,Urgent,32.5,2025-08-05,26,True,1,0,8,1,32,4,0
REQ-000086,LOC-10,SVC-09,Routine,12.2,2025-08-05,218,True,1,0,8,1,32,4,0
REQ-000087,LOC-09,SVC-02,Priority,40.4,2025-08-05,94,True,1,0,8,1,32,4,0
REQ-000088,LOC-07,SVC-05,Routine,8.5,2025-08-05,185,True,1,0,8,1,32,4,0
REQ-000089,LOC-07,SVC-05,Routine,17.1,2025-08-05,185,True,1,0,8,1,32,4,0
REQ-000090,LOC-03,SVC-08,Routine,16.0,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000091,LOC-10,SVC-03,Routine,24.5,2025-08-05,218,True,1,0,8,1,32,4,0
REQ-000092,LOC-08,SVC-01,Routine,58.1,2025-08-05,218,True,1,0,8,1,32,4,0
REQ-000093,LOC-02,SVC-04,Priority,67.4,2025-08-05,72,True,1,0,8,1,32,4,0
REQ-000094,LOC-03,SVC-05,Routine,37.4,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000095,LOC-04,SVC-05,Routine,14.9,2025-08-05,168,True,1,0,8,1,32,4,0
REQ-000096,LOC-04,SVC-02,Priority,40.3,2025-08-06,72,True,2,0,8,1,32,5,0
REQ-000097,LOC-10,SVC-05,Priority,41.5,2025-08-06,94,True,2,0,8,1,32,5,0
REQ-000098,LOC-01,SVC-09,Routine,10.0,2025-08-06,168,True,2,0,8,1,32,5,0
REQ-000099,LOC-09,SVC-05,Routine,41.3,2025-08-06,218,True,2,0,8,1,32,5,0
REQ-000100,LOC-05,SVC-02,Urgent,67.4,2025-08-06,24,False,2,0,8,1,32,5,1
REQ-000101,LOC-09,SVC-01,Routine,30.1,2025-08-06,218,True,2,0,8,1,32,5,0
REQ-000102,LOC-10,SVC-05,Routine,11.3,2025-08-06,218,True,2,0,8,1,32,5,0
REQ-000103,LOC-08,SVC-05,Routine,18.4,2025-08-06,218,True,2,0,8,1,32,5,0
REQ-000104,LOC-04,SVC-04,Priority,62.7,2025-08-06,72,True,2,0,8,1,32,5,0
REQ-000105,LOC-03,SVC-01,Routine,18.4,2025-08-06,168,True,2,0,8,1,32,5,0
REQ-000106,LOC-10,SVC-02,Priority,65.6,2025-08-06,94,True,2,0,8,1,32,5,0
REQ-000108,LOC-10,SVC-05,Routine,22.2,2025-08-06,218,True,2,0,8,1,32,5,0
REQ-000109,LOC-08,SVC-05,Urgent,79.2,2025-08-06,31,True,2,0,8,1,32,5,0
