week_start_date,location_id,requests,avg_complexity_score,total_hours_worked,total_contracted_hours,total_overtime_hours,required_hours_estimate,capacity_gap_hours,capacity_gap_fte,week_index,month
2025-07-28,LOC-01,7.0,57.06666666666666,42.379999999999995,70.0,0.01,14.647111111111112,-55.352888888888884,-1.4566549707602339,0,7
2025-07-28,LOC-02,3.0,50.666666666666664,141.10999999999999,236.0,0.01,5.573333333333333,-230.42666666666668,-6.063859649122807,0,7
2025-07-28,LOC-03,4.0,25.45,134.24,286.0,0.0,3.732666666666667,-282.26733333333334,-7.4280877192982455,0,7
2025-07-28,LOC-04,2.0,50.55,47.99,138.0,0.1,3.707,-134.293,-3.534026315789474,0,7
2025-07-28,LOC-05,5.0,34.4625,157.11,362.0,0.0,6.318125000000001,-355.681875,-9.360049342105263,0,7
2025-07-28,LOC-06,6.0,44.166666666666664,106.28999999999999,180.0,0.0,9.716666666666669,-170.28333333333333,-4.481140350877193,0,7
2025-07-28,LOC-07,4.0,43.975,93.58,212.0,0.16,6.449666666666667,-205.55033333333333,-5.409219298245614,0,7
2025-07-28,LOC-08,2.0,20.4,126.65000000000002,306.0,0.0,1.496,-304.504,-8.013263157894738,0,7
2025-07-28,LOC-09,3.0,26.533333333333335,165.93,314.0,8.14,2.918666666666667,-311.0813333333333,-8.186350877192982,0,7
2025-07-28,LOC-10,4.0,47.225,130.79999999999998,234.0,2.27,6.926333333333334,-227.07366666666667,-5.975622807017544,0,7
2025-08-04,LOC-01,18.0,46.51111111111112,92.16,82.0,20.200000000000003,30.697333333333344,-51.30266666666665,-1.3500701754385962,1,8
2025-08-04,LOC-02,13.0,47.57692307692308,280.57,256.0,32.660000000000004,22.678333333333335,-233.32166666666666,-6.140043859649123,1,8
2025-08-04,LOC-03,13.0,39.876923076923084,318.66,350.0,16.42,19.008000000000006,-330.992,-8.710315789473684,1,8
2025-08-04,LOC-04,13.0,31.577272727272724,176.32,198.0,13.92,15.051833333333333,-182.94816666666668,-4.8144254385964915,1,8
2025-08-04,LOC-05,13.0,52.43846153846153,406.27,426.0,24.599999999999998,24.99566666666667,-401.0043333333333,-10.552745614035087,1,8
2025-08-04,LOC-06,16.0,43.756249999999994,232.44000000000003,218.0,26.360000000000003,25.670333333333332,-192.32966666666667,-5.06130701754386,1,8
2025-08-04,LOC-07,12.0,45.590909090909086,248.54,254.0,22.549999999999997,20.06,-233.94,-6.156315789473684,1,8
2025-08-04,LOC-08,17.0,43.02941176470588,393.9,382.0,33.32000000000001,26.821666666666665,-355.17833333333334,-9.346798245614035,1,8
2025-08-04,LOC-09,11.0,34.37,363.11999999999995,334.0,43.39,13.862566666666666,-320.1374333333333,-8.424669298245613,1,8
2025-08-04,LOC-10,22.0,40.09000000000001,273.84000000000003,258.0,38.63,32.33926666666668,-225.66073333333333,-5.938440350877193,1,8
2025-08-11,LOC-01,18.0,44.6625,89.86,82.0,11.91,29.477250000000005,-52.522749999999995,-1.3821776315789471,2,8
