employee_id,pattern_type,specific_date,day_of_week,available_flag,earliest_start,latest_end,preferred_shift_type
EMP-00001,Recurring,,Monday,True,07:00,15:00,Night
EMP-00001,Recurring,,Tuesday,True,07:00,19:00,Night
EMP-00001,Recurring,,Wednesday,True,07:00,19:00,Night
EMP-00001,Recurring,,Thursday,False,,,
EMP-00001,Recurring,,Friday,True,07:00,19:00,Split
EMP-00001,Recurring,,Saturday,True,07:00,15:00,PM
EMP-00001,Recurring,,Sunday,False,,,
EMP-00002,Recurring,,Monday,True,07:00,17:00,AM
EMP-00002,Recurring,,Tuesday,True,07:00,15:00,PM
EMP-00002,Recurring,,Wednesday,True,07:00,15:00,AM
EMP-00002,Recurring,,Thursday,False,,,
EMP-00002,Recurring,,Friday,False,,,
EMP-00002,Recurring,,Saturday,False,,,
EMP-00002,Recurring,,Sunday,True,07:00,15:00,AM
EMP-00003,Recurring,,Monday,True,07:00,17:00,PM
EMP-00003,Recurring,,Tuesday,True,07:00,19:00,Night
EMP-00003,Recurring,,Wednesday,True,07:00,19:00,Night
EMP-00003,Recurring,,Thursday,True,07:00,19:00,PM
EMP-00003,Recurring,,Friday,False,,,
EMP-00003,Recurring,,Saturday,True,07:00,15:00,PM
EMP-00003,Recurring,,Sunday,False,,,
EMP-00004,Recurring,,Monday,False,,,
EMP-00004,Recurring,,Tuesday,False,,,
EMP-00004,Recurring,,Wednesday,True,07:00,21:00,PM
EMP-00004,Recurring,,Thursday,False,,,
EMP-00004,Recurring,,Friday,True,07:00,15:00,AM
EMP-00004,Recurring,,Saturday,True,07:00,15:00,Split
EMP-00004,Recurring,,Sunday,False,,,
EMP-00005,Recurring,,Monday,False,,,
EMP-00005,Recurring,,Tuesday,True,07:00,17:00,AM
EMP-00005,Recurring,,Wednesday,True,07:00,21:00,AM
EMP-00005,Recurring,,Thursday,False,,,
EMP-00005,Recurring,,Friday,False,,,
EMP-00005,Recurring,,Saturday,True,07:00,15:00,AM
EMP-00005,Recurring,,Sunday,True,07:00,17:00,Night
EMP-00006,Recurring,,Monday,True,07:00,19:00,Night
EMP-00006,Recurring,,Tuesday,False,,,
EMP-00006,Recurring,,Wednesday,False,,,
EMP-00006,Recurring,,Thursday,False,,,
EMP-00006,Recurring,,Friday,False,,,
EMP-00006,Recurring,,Saturday,True,07:00,21:00,Night
EMP-00006,Recurring,,Sunday,True,07:00,17:00,PM
EMP-00007,Recurring,,Monday,True,07:00,21:00,PM
EMP-00007,Recurring,,Tuesday,False,,,
EMP-00007,Recurring,,Wednesday,False,,,
EMP-00007,Recurring,,Thursday,False,,,
EMP-00007,Recurring,,Friday,True,07:00,17:00,AM
EMP-00007,Recurring,,Saturday,True,07:00,21:00,PM
