cancellation_id,appointment_id,cancelled_by,cancellation_reason,notice_hours,rebooked_flag
CAN-00001,APT-000001,Client,Other,1.5,True
CAN-00002,APT-000003,Employee,Other,0.0,False
CAN-00003,APT-000004,Employee,Other,23.4,True
CAN-00004,APT-000005,Client,Weather,21.5,True
CAN-00005,APT-000006,Client,Staff illness,16.2,False
CAN-00006,APT-000009,Client,Staff illness,4.9,True
CAN-00007,APT-000011,Client,Client unavailable,16.2,True
CAN-00008,APT-000014,Employee,Duplicate booking,25.5,True
CAN-00009,APT-000015,Client,Duplicate booking,9.5,False
CAN-00010,APT-000018,Organisation,Transport issue,28.1,False
CAN-00011,APT-000022,Client,Client declined,23.3,True
CAN-00012,APT-000025,Employee,Duplicate booking,0.0,True
CAN-00013,APT-000028,Client,Transport issue,18.3,True
CAN-00014,APT-000029,Client,Weather,0.0,False
CAN-00015,APT-000031,Organisation,Staff illness,32.9,False
CAN-00016,APT-000036,Client,Weather,15.1,True
CAN-00017,APT-000037,Client,Client declined,16.4,False
CAN-00018,APT-000041,Employee,Duplicate booking,42.5,True
CAN-00019,APT-000044,Organisation,Duplicate booking,19.7,True
CAN-00020,APT-000045,Client,Client unwell,14.8,False
CAN-00021,APT-000046,Client,Transport issue,3.4,True
CAN-00022,APT-000058,Employee,Transport issue,37.0,False
CAN-00023,APT-000061,Organisation,Transport issue,8.7,True
CAN-00024,APT-000063,Employee,Client unwell,0.0,True
CAN-00025,APT-000064,Employee,Staff illness,0.0,True
CAN-00026,APT-000068,Client,Weather,1.1,True
CAN-00027,APT-000076,Client,Staff illness,27.5,False
CAN-00028,APT-000084,Employee,Transport issue,20.9,True
CAN-00029,APT-000085,Client,Weather,0.0,True
CAN-00030,APT-000086,Organisation,Client unavailable,61.2,False
CAN-00031,APT-000092,Employee,Duplicate booking,34.0,False
CAN-00032,APT-000094,Client,Client unavailable,53.4,True
CAN-00033,APT-000095,Employee,Client declined,8.7,True
CAN-00034,APT-000106,Employee,Transport issue,0.0,False
CAN-00035,APT-000110,Client,Other,0.0,True
CAN-00036,APT-000113,Organisation,Other,25.4,False
CAN-00037,APT-000115,Client,Staff illness,15.1,False
CAN-00038,APT-000125,Client,Client unwell,3.6,True
CAN-00039,APT-000130,Client,Client unavailable,27.3,True
CAN-00040,APT-000133,Client,Client unwell,30.8,False
CAN-00041,APT-000134,Client,Client declined,0.0,True
CAN-00042,APT-000136,Client,Client unavailable,16.4,False
CAN-00043,APT-000138,Employee,Other,0.0,True
CAN-00044,APT-000140,Client,Weather,56.4,True
CAN-00045,APT-000141,Client,Duplicate booking,0.0,True
CAN-00046,APT-000144,Organisation,Client declined,0.0,True
CAN-00047,APT-000145,Client,Client unwell,25.2,True
CAN-00048,APT-000147,Client,Client declined,21.1,True
CAN-00049,APT-000148,Employee,Transport issue,16.8,True
CAN-00050,APT-000152,Organisation,Weather,27.8,True
CAN-00051,APT-000153,Organisation,Staff illness,13.2,True
CAN-00052,APT-000154,Client,Other,15.7,True
CAN-00053,APT-000155,Client,Weather,21.5,False
CAN-00054,APT-000159,Employee,Other,41.4,True
CAN-00055,APT-000160,Employee,Weather,36.4,True
CAN-00056,APT-000161,Organisation,Client declined,27.3,False
CAN-00057,APT-000162,Employee,Weather,40.5,True
CAN-00058,APT-000163,Employee,Duplicate booking,38.6,True
CAN-00059,APT-000167,Client,Client unavailable,28.6,False
CAN-00060,APT-000168,Organisation,Staff illness,31.8,True
CAN-00061,APT-000178,Employee,Client unavailable,21.5,True
CAN-00062,APT-000181,Organisation,Weather,6.3,True
CAN-00063,APT-000184,Client,Staff illness,24.0,False
CAN-00064,APT-000189,Client,Client unavailable,28.5,True
CAN-00065,APT-000190,Client,Client unavailable,47.1,True
CAN-00066,APT-000194,Employee,Duplicate booking,50.2,False
CAN-00067,APT-000198,Organisation,Client declined,29.6,True
CAN-00068,APT-000205,Organisation,Duplicate booking,12.7,True
CAN-00069,APT-000207,Client,Other,12.2,True
CAN-00070,APT-000208,Employee,Staff illness,0.0,True
CAN-00071,APT-000209,Client,Duplicate booking,15.4,True
CAN-00072,APT-000215,Client,Client unavailable,17.8,False
CAN-00073,APT-000218,Client,Other,0.5,True
CAN-00074,APT-000227,Client,Client unavailable,0.0,True
CAN-00075,APT-000232,Employee,Staff illness,41.7,False
CAN-00076,APT-000233,Client,Other,2.3,True
CAN-00077,APT-000237,Client,Other,0.0,False
CAN-00078,APT-000238,Employee,Client unwell,8.3,False
CAN-00079,APT-000239,Employee,Client unwell,10.6,False
CAN-00080,APT-000243,Organisation,Other,24.0,True
CAN-00081,APT-000244,Client,Client declined,16.6,False
CAN-00082,APT-000251,Client,Other,51.3,True
CAN-00083,APT-000255,Employee,Duplicate booking,38.7,True
CAN-00084,APT-000260,Client,Client unwell,29.4,False
CAN-00085,APT-000263,Employee,Staff illness,13.5,False
CAN-00086,APT-000264,Client,Client unavailable,4.6,True
CAN-00087,APT-000266,Client,Staff illness,30.9,True
CAN-00088,APT-000270,Client,Transport issue,36.2,True
CAN-00089,APT-000271,Client,Client unavailable,20.8,True
CAN-00090,APT-000272,Organisation,Weather,31.3,False
CAN-00091,APT-000273,Organisation,Client unwell,0.0,True
CAN-00092,APT-000274,Client,Weather,60.6,False
CAN-00093,APT-000275,Client,Other,26.7,False
CAN-00094,APT-000276,Client,Client declined,0.0,True
CAN-00095,APT-000277,Client,Staff illness,7.3,True
CAN-00096,APT-000285,Organisation,Client declined,0.0,False
CAN-00097,APT-000287,Client,Other,45.1,False
CAN-00098,APT-000291,Organisation,Duplicate booking,36.9,True
CAN-00099,APT-000293,Employee,Other,3.2,True
CAN-00100,APT-000296,Client,Client unavailable,20.1,True
CAN-00101,APT-000297,Employee,Client unwell,36.9,False
CAN-00102,APT-000298,Client,Duplicate booking,0.0,True
CAN-00103,APT-000299,Employee,Transport issue,38.5,True
CAN-00104,APT-000306,Client,Staff illness,53.3,True
CAN-00105,APT-000308,Client,Transport issue,0.0,True
CAN-00106,APT-000313,Organisation,Client unavailable,35.8,False
CAN-00107,APT-000316,Client,Staff illness,0.0,True
CAN-00108,APT-000317,Organisation,Client unwell,31.4,True
CAN-00109,APT-000320,Employee,Client unwell,49.5,True
CAN-00110,APT-000321,Client,Staff illness,37.1,True
CAN-00111,APT-000322,Client,Transport issue,1.9,True
CAN-00112,APT-000323,Client,Other,40.1,False
CAN-00113,APT-000325,Client,Weather,8.7,False
CAN-00114,APT-000332,Client,Staff illness,0.0,True
CAN-00115,APT-000342,Client,Staff illness,30.8,True
CAN-00116,APT-000343,Employee,Transport issue,17.0,False
CAN-00117,APT-000347,Client,Other,16.2,True
CAN-00118,APT-000355,Client,Other,44.6,True
CAN-00119,APT-000356,Employee,Client unavailable,14.4,True
CAN-00120,APT-000359,Organisation,Weather,22.8,True
CAN-00121,APT-000360,Client,Staff illness,54.1,False
CAN-00122,APT-000362,Client,Staff illness,35.7,True
CAN-00123,APT-000367,Client,Transport issue,37.8,True
CAN-00124,APT-000369,Client,Duplicate booking,0.0,True
CAN-00125,APT-000376,Organisation,Client declined,43.5,True
CAN-00126,APT-000380,Client,Client declined,33.3,False
