client_id,location_id,client_since_date,complexity_tier,preferred_language,active_flag,consent_data_use_flag,communication_preference
CLT-00001,LOC-04,2022-03-31,High,Vietnamese,True,True,Phone
CLT-00002,LOC-10,2024-07-04,Low,Italian,True,True,Email
CLT-00003,LOC-09,2019-12-04,Medium,English,True,True,Phone
CLT-00004,LOC-06,2022-03-21,Critical,English,True,True,Phone
CLT-00005,LOC-07,2021-02-18,Medium,English,True,True,Phone
CLT-00006,LOC-09,2021-05-22,Medium,English,True,True,Phone
CLT-00007,LOC-08,2024-04-20,High,Vietnamese,True,True,Phone
CLT-00008,LOC-07,2020-02-17,Critical,Italian,True,True,Email
CLT-00009,LOC-07,2022-12-30,Low,English,False,True,SMS
CLT-00010,LOC-05,2023-06-07,Medium,English,True,True,SMS
CLT-00011,LOC-10,2023-03-26,Critical,English,True,True,Phone
CLT-00012,LOC-05,2021-01-30,High,English,True,True,Phone
CLT-00013,LOC-05,2022-06-21,Medium,English,True,True,Phone
CLT-00014,LOC-02,2024-03-28,High,English,True,True,Email
CLT-00015,LOC-05,2025-04-25,Medium,English,True,True,Phone
CLT-00016,LOC-05,2025-06-16,Medium,Vietnamese,True,True,Phone
CLT-00017,LOC-06,2025-05-07,Low,Arabic,True,True,Phone
CLT-00018,LOC-01,2023-12-24,High,English,True,True,Phone
CLT-00019,LOC-07,2020-01-07,Low,English,True,True,Phone
CLT-00020,LOC-09,2025-01-30,Low,English,True,True,Phone
CLT-00021,LOC-06,2022-04-09,Medium,English,True,True,Email
CLT-00022,LOC-06,2025-06-24,Medium,English,True,True,SMS
CLT-00023,LOC-10,2024-05-05,Low,Arabic,True,True,Phone
CLT-00024,LOC-04,2023-10-13,Low,English,True,True,Phone
CLT-00025,LOC-07,2022-08-30,Low,English,True,True,Post
CLT-00026,LOC-01,2022-11-19,Medium,English,True,True,Email
CLT-00027,LOC-03,2022-11-02,Medium,Greek,True,True,Email
CLT-00028,LOC-06,2023-01-11,Low,English,True,True,Email
CLT-00029,LOC-06,2021-06-15,High,English,True,True,Phone
CLT-00030,LOC-07,2020-05-22,Medium,Mandarin,True,True,Phone
CLT-00031,LOC-02,2019-10-03,Low,Arabic,True,True,Phone
CLT-00032,LOC-08,2022-05-29,Medium,English,True,True,Phone
CLT-00033,LOC-08,2021-06-01,Medium,English,True,True,Email
CLT-00034,LOC-10,2023-05-03,Medium,English,True,True,Phone
CLT-00035,LOC-10,2022-02-13,Low,English,True,True,SMS
CLT-00036,LOC-10,2024-07-23,Low,Mandarin,True,True,Email
CLT-00037,LOC-03,2023-12-27,Low,Mandarin,True,True,SMS
CLT-00038,LOC-01,2021-04-02,Low,English,True,True,Email
CLT-00039,LOC-03,2022-10-22,Low,Mandarin,True,True,Email
CLT-00040,LOC-03,2025-04-05,Medium,Vietnamese,True,True,SMS
CLT-00041,LOC-07,2021-01-12,High,English,True,True,Email
CLT-00042,LOC-01,2023-08-29,Medium,English,True,True,Phone
CLT-00043,LOC-03,2019-07-27,Low,English,True,True,Email
CLT-00044,LOC-10,2025-04-10,High,Other,True,True,Phone
CLT-00045,LOC-01,2024-12-26,Medium,English,True,True,Email
CLT-00046,LOC-06,2025-01-13,Medium,Italian,True,True,Phone
CLT-00047,LOC-06,2022-09-28,Medium,English,False,True,Phone
CLT-00048,LOC-10,2020-10-08,Medium,English,False,True,Email
CLT-00049,LOC-06,2025-05-24,High,English,False,True,Phone
CLT-00050,LOC-10,2020-01-13,High,Other,True,True,SMS
CLT-00051,LOC-07,2022-02-07,Medium,English,True,True,SMS
CLT-00052,LOC-02,2023-10-23,Low,English,True,True,Phone
CLT-00053,LOC-01,2020-11-07,Medium,English,True,True,Phone
CLT-00054,LOC-03,2025-03-30,Low,English,True,True,Email
CLT-00055,LOC-06,2022-06-28,Medium,English,True,True,Phone
CLT-00056,LOC-07,2019-09-30,High,English,True,True,SMS
CLT-00057,LOC-04,2023-04-08,Medium,English,True,True,Phone
CLT-00058,LOC-07,2023-10-30,Low,Mandarin,True,True,Email
CLT-00059,LOC-01,2020-09-01,High,English,True,True,Email
CLT-00060,LOC-08,2024-01-11,Low,Greek,True,True,SMS
CLT-00061,LOC-04,2021-06-06,Medium,Greek,True,False,Email
CLT-00062,LOC-10,2020-08-28,Low,Other,True,True,Email
CLT-00063,LOC-01,2023-12-01,Critical,Greek,True,True,Phone
CLT-00064,LOC-03,2024-04-26,Medium,Other,True,True,Phone
CLT-00065,LOC-08,2020-09-28,Low,Mandarin,True,True,SMS
CLT-00066,LOC-10,2023-08-29,Medium,Mandarin,True,True,Phone
CLT-00067,LOC-08,2022-06-16,Low,Mandarin,True,True,Phone
CLT-00068,LOC-10,2023-11-10,Low,English,True,True,Phone
CLT-00069,LOC-10,2023-07-10,Medium,English,True,True,Email
CLT-00070,LOC-01,2022-10-16,Low,Greek,True,True,Phone
CLT-00071,LOC-02,2022-02-16,High,English,True,True,SMS
CLT-00072,LOC-08,2021-06-15,Low,Other,True,True,Phone
CLT-00073,LOC-10,2019-11-05,High,Mandarin,True,True,Email
CLT-00074,LOC-08,2020-03-17,Low,Greek,True,True,Email
CLT-00075,LOC-10,2022-11-19,High,English,True,True,Phone
CLT-00076,LOC-05,2025-05-02,Critical,English,True,True,Post
CLT-00077,LOC-01,2021-01-11,Medium,English,False,False,Phone
CLT-00078,LOC-01,2023-08-28,Medium,English,True,True,SMS
CLT-00079,LOC-05,2022-01-30,Low,English,True,True,Phone
CLT-00080,LOC-01,2022-11-20,Critical,Greek,True,True,Phone
CLT-00081,LOC-02,2020-10-27,Critical,English,True,True,Email
CLT-00082,LOC-03,2020-12-22,Low,Arabic,True,True,Phone
CLT-00083,LOC-10,2020-02-11,Low,Mandarin,True,True,Email
CLT-00084,LOC-04,2024-02-02,Low,Mandarin,True,True,Email
CLT-00085,LOC-10,2019-12-06,Low,English,True,True,Email
CLT-00086,LOC-07,2019-12-27,Medium,Italian,True,True,Phone
CLT-00087,LOC-06,2023-09-14,Medium,English,True,True,Phone
CLT-00088,LOC-03,2023-06-18,Low,English,True,True,Phone
CLT-00089,LOC-09,2024-09-06,Low,English,True,True,Email
CLT-00090,LOC-07,2024-02-29,High,Other,True,True,Phone
CLT-00091,LOC-04,2021-06-14,Low,English,True,True,Phone
CLT-00092,LOC-07,2020-10-26,Medium,Other,True,True,Post
CLT-00093,LOC-06,2024-02-11,Medium,English,True,True,Email
CLT-00094,LOC-06,2021-01-21,Medium,English,True,True,Email
CLT-00095,LOC-04,2022-04-29,Low,Italian,True,True,Email
CLT-00096,LOC-07,2024-05-18,High,Greek,True,True,SMS
CLT-00097,LOC-07,2021-03-10,Medium,English,True,True,Phone
CLT-00098,LOC-03,2020-06-19,Critical,English,True,True,Phone
CLT-00099,LOC-07,2020-06-29,Low,Other,True,False,Email
CLT-00100,LOC-03,2024-02-15,Medium,English,True,True,Phone
CLT-00101,LOC-04,2019-11-13,High,Vietnamese,True,True,Phone
CLT-00102,LOC-07,2020-09-18,Low,English,True,True,Phone
CLT-00103,LOC-10,2021-11-10,Low,English,True,True,SMS
CLT-00104,LOC-07,2022-02-06,Medium,English,True,True,Post
CLT-00105,LOC-10,2025-05-03,Low,English,True,True,Phone
CLT-00106,LOC-04,2022-06-03,Low,English,True,True,Email
CLT-00107,LOC-08,2022-04-26,Low,English,True,True,Phone
CLT-00108,LOC-09,2021-01-17,Low,Italian,True,True,SMS
CLT-00109,LOC-08,2021-07-30,Low,English,True,True,Post
CLT-00110,LOC-03,2020-03-07,Medium,English,True,True,SMS
CLT-00111,LOC-05,2022-05-28,Low,English,True,True,Phone
CLT-00112,LOC-05,2024-08-22,Low,Italian,True,True,Email
CLT-00113,LOC-05,2024-11-08,Critical,English,True,True,Email
CLT-00114,LOC-01,2019-12-06,Low,English,True,True,Phone
CLT-00115,LOC-08,2020-12-25,Medium,English,True,True,Phone
CLT-00116,LOC-09,2020-08-05,Critical,English,True,True,Phone
CLT-00117,LOC-10,2023-05-14,Medium,Greek,True,True,Phone
CLT-00118,LOC-01,2019-12-20,Medium,Italian,True,True,Email
CLT-00119,LOC-09,2021-08-13,Medium,English,True,True,Phone
CLT-00120,LOC-03,2024-06-25,Medium,Mandarin,True,True,Phone
CLT-00121,LOC-02,2022-08-29,High,English,True,True,SMS
CLT-00122,LOC-07,2023-09-09,Medium,English,True,True,SMS
CLT-00123,LOC-09,2021-03-02,High,English,True,True,Email
CLT-00124,LOC-09,2023-01-14,Low,English,True,True,Phone
CLT-00125,LOC-06,2023-03-31,Low,Other,True,True,Phone
CLT-00126,LOC-05,2023-07-12,Low,English,True,True,Email
CLT-00127,LOC-08,2024-03-09,Medium,Arabic,True,True,Phone
CLT-00128,LOC-02,2023-12-01,Medium,English,True,True,Post
CLT-00129,LOC-05,2022-02-21,Medium,English,True,True,Phone
CLT-00130,LOC-01,2023-01-06,Medium,English,True,True,Post
CLT-00131,LOC-06,2022-12-10,High,English,True,True,SMS
CLT-00132,LOC-02,2023-09-25,High,Mandarin,True,True,Email
CLT-00133,LOC-07,2023-05-16,Medium,English,True,True,SMS
CLT-00134,LOC-04,2024-06-08,High,English,True,True,Email
CLT-00135,LOC-04,2024-08-17,Critical,English,True,True,Post
CLT-00136,LOC-01,2024-06-16,Medium,English,True,True,Email
CLT-00137,LOC-05,2023-11-02,High,Vietnamese,True,True,Email
CLT-00138,LOC-04,2025-06-13,Low,English,True,True,Phone
CLT-00139,LOC-02,2023-09-29,Medium,Vietnamese,True,True,Phone
CLT-00140,LOC-02,2022-07-05,Critical,English,False,True,Email
