employee_id,skill_id,proficiency_level,certified_date,expiry_date,expired_flag
EMP-00001,SK-02,1,2023-02-17,2026-02-16,True
EMP-00001,SK-08,1,2023-04-13,,False
EMP-00001,SK-09,3,2023-10-10,2025-10-09,True
EMP-00001,SK-01,3,2024-06-24,2026-06-24,True
EMP-00001,SK-04,3,2025-04-30,,False
EMP-00002,SK-06,1,2022-08-16,2025-08-15,True
EMP-00002,SK-07,2,2024-03-26,2026-03-26,True
EMP-00002,SK-02,3,2022-08-06,2025-08-05,True
EMP-00002,SK-10,2,2021-11-25,2024-11-24,True
EMP-00002,SK-12,2,2023-04-12,2025-04-11,True
EMP-00002,SK-09,2,2022-06-20,2024-06-19,True
EMP-00002,SK-01,2,2025-05-20,2028-05-19,False
EMP-00003,SK-06,2,2024-10-19,2026-10-19,False
EMP-00003,SK-02,1,2025-02-15,2028-02-15,False
EMP-00003,SK-03,1,2022-02-25,2025-02-24,True
EMP-00003,SK-08,1,2023-06-01,2024-05-31,True
EMP-00003,SK-11,1,2021-12-02,,False
EMP-00003,SK-01,2,2024-06-25,2025-06-25,True
EMP-00004,SK-07,3,2022-08-30,2023-08-30,True
EMP-00004,SK-02,3,2022-05-17,2023-05-17,True
EMP-00004,SK-03,2,2024-03-12,,False
EMP-00004,SK-01,2,2022-07-03,2023-07-03,True
EMP-00004,SK-04,1,2024-07-07,2025-07-07,True
EMP-00005,SK-02,1,2023-12-13,2025-12-12,True
EMP-00005,SK-08,3,2022-07-31,2025-07-30,True
EMP-00005,SK-12,1,2025-02-21,,False
EMP-00005,SK-09,3,2023-11-07,2025-11-06,True
EMP-00005,SK-01,2,2024-07-03,2025-07-03,True
EMP-00006,SK-07,3,2024-08-22,,False
EMP-00006,SK-02,1,2024-11-22,2026-11-22,False
EMP-00006,SK-03,1,2024-07-08,2026-07-08,True
EMP-00006,SK-01,3,2025-07-02,2027-07-02,False
EMP-00006,SK-04,2,2024-05-27,,False
EMP-00007,SK-06,2,2025-06-20,,False
EMP-00007,SK-02,2,2021-10-03,2023-10-03,True
EMP-00007,SK-03,3,2023-11-17,,False
EMP-00007,SK-10,3,2022-02-06,2025-02-05,True
EMP-00007,SK-14,3,2024-03-11,2026-03-11,True
EMP-00007,SK-01,1,2025-04-01,2028-03-31,False
EMP-00008,SK-06,2,2022-08-26,2025-08-25,True
EMP-00008,SK-07,1,2022-05-17,,False
EMP-00008,SK-02,1,2022-11-05,2023-11-05,True
EMP-00008,SK-14,3,2022-07-16,2023-07-16,True
EMP-00008,SK-12,3,2022-08-16,,False
EMP-00008,SK-01,3,2022-03-27,2023-03-27,True
EMP-00009,SK-06,2,2022-06-06,2025-06-05,True
EMP-00009,SK-02,2,2021-12-26,2023-12-26,True
EMP-00009,SK-01,2,2021-10-09,2024-10-08,True
EMP-00009,SK-04,1,2024-06-06,2025-06-06,True
EMP-00010,SK-02,1,2022-08-23,2024-08-22,True
EMP-00010,SK-03,3,2022-05-20,2023-05-20,True
EMP-00010,SK-10,3,2023-01-02,2024-01-02,True
EMP-00010,SK-01,3,2024-11-21,2025-11-21,True
EMP-00011,SK-02,3,2023-12-16,2024-12-15,True
EMP-00011,SK-03,3,2024-07-04,2026-07-04,True
EMP-00011,SK-11,1,2023-06-03,2025-06-02,True
EMP-00011,SK-01,2,2023-12-03,,False
EMP-00011,SK-13,3,2022-11-23,2024-11-22,True
EMP-00011,SK-12,3,2022-08-09,2025-08-08,True
EMP-00012,SK-11,2,2023-05-19,2026-05-18,True
EMP-00012,SK-02,1,2021-10-10,,False
EMP-00012,SK-05,3,2024-10-05,2025-10-05,True
EMP-00012,SK-12,3,2023-08-01,2026-07-31,False
EMP-00012,SK-09,1,2022-08-21,2023-08-21,True
EMP-00012,SK-01,3,2024-01-20,2026-01-19,True
EMP-00013,SK-02,2,2023-05-30,2025-05-29,True
EMP-00013,SK-05,3,2023-09-25,2026-09-24,False
EMP-00013,SK-03,3,2023-07-22,2026-07-21,True
EMP-00013,SK-01,3,2022-12-06,2023-12-06,True
EMP-00013,SK-04,2,2024-12-05,2026-12-05,False
EMP-00014,SK-02,1,2022-09-08,,False
EMP-00014,SK-03,1,2023-12-25,2025-12-24,True
EMP-00014,SK-12,1,2024-10-17,2025-10-17,True
EMP-00014,SK-01,1,2024-01-09,2026-01-08,True
EMP-00014,SK-04,3,2024-06-15,2025-06-15,True
EMP-00015,SK-11,1,2023-04-09,2025-04-08,True
EMP-00015,SK-02,1,2024-08-02,2026-08-02,False
EMP-00015,SK-08,2,2025-06-20,,False
EMP-00015,SK-12,1,2024-01-11,,False
EMP-00015,SK-01,2,2024-01-10,,False
EMP-00016,SK-02,1,2022-07-30,2023-07-30,True
EMP-00016,SK-03,2,2024-01-24,,False
EMP-00016,SK-14,3,2022-04-27,2023-04-27,True
EMP-00016,SK-01,2,2025-04-13,2026-04-13,True
EMP-00017,SK-11,3,2023-03-15,2026-03-14,True
EMP-00017,SK-02,1,2023-04-07,2024-04-06,True
EMP-00017,SK-08,3,2022-08-02,2023-08-02,True
EMP-00017,SK-12,3,2025-02-25,2028-02-25,False
EMP-00017,SK-01,3,2023-11-17,2024-11-16,True
EMP-00018,SK-07,2,2024-12-10,2027-12-10,False
EMP-00018,SK-02,1,2024-06-17,2026-06-17,True
EMP-00018,SK-11,1,2021-10-20,2022-10-20,True
EMP-00018,SK-01,2,2023-08-24,2026-08-23,False
EMP-00018,SK-13,3,2023-08-20,2026-08-19,False
EMP-00019,SK-02,3,2022-10-03,2024-10-02,True
EMP-00019,SK-10,3,2024-08-05,2027-08-05,False
