leave_id,employee_id,leave_type,start_date,end_date,status,approved_by,requested_date
LV-00001,EMP-00117,Annual,2025-12-28,2026-01-03,Cancelled,,2025-12-26
LV-00002,EMP-00052,Annual,2026-06-19,2026-07-02,Approved,system-approval-workflow,2026-06-04
LV-00003,EMP-00114,Annual,2026-04-06,2026-04-11,Approved,system-approval-workflow,2026-03-31
LV-00004,EMP-00096,Annual,2025-08-07,2025-08-11,Approved,system-approval-workflow,2025-07-22
LV-00005,EMP-00055,Annual,2025-11-13,2025-11-17,Approved,system-approval-workflow,2025-11-02
LV-00006,EMP-00067,Personal / Carer's,2025-12-22,2026-01-04,Cancelled,,2025-12-20
LV-00007,EMP-00139,Personal / Carer's,2025-10-11,2025-10-12,Approved,system-approval-workflow,2025-10-07
LV-00008,EMP-00073,Unpaid,2025-10-17,2025-10-25,Approved,system-approval-workflow,2025-10-09
LV-00009,EMP-00095,Annual,2026-07-27,2026-08-09,Cancelled,,2026-07-21
LV-00010,EMP-00076,Personal / Carer's,2026-01-23,2026-02-05,Rejected,,2026-01-13
LV-00011,EMP-00025,Annual,2026-01-07,2026-01-15,Pending,,2026-01-06
LV-00012,EMP-00086,Annual,2026-02-16,2026-02-26,Approved,system-approval-workflow,2026-02-03
LV-00013,EMP-00039,Annual,2025-12-23,2025-12-24,Approved,system-approval-workflow,2025-12-04
LV-00014,EMP-00001,Annual,2026-01-25,2026-02-01,Approved,system-approval-workflow,2026-01-24
LV-00015,EMP-00114,Personal / Carer's,2025-11-09,2025-11-17,Approved,system-approval-workflow,2025-10-27
LV-00016,EMP-00150,Unpaid,2025-10-19,2025-10-28,Approved,system-approval-workflow,2025-09-29
LV-00017,EMP-00143,Annual,2026-06-12,2026-06-22,Rejected,,2026-06-05
LV-00018,EMP-00021,Sick,2026-01-13,2026-01-14,Rejected,,2026-01-13
LV-00019,EMP-00114,Parental,2025-11-08,2025-11-16,Approved,system-approval-workflow,2025-11-04
LV-00020,EMP-00028,ANNUAL,2026-01-10,2026-01-17,Rejected,,2025-12-24
LV-00021,EMP-00084,Annual,2026-05-03,2026-05-06,Approved,system-approval-workflow,2026-04-24
LV-00022,EMP-00007,Personal / Carer's,2026-01-20,2026-02-01,Cancelled,,2026-01-05
LV-00023,EMP-00012,Personal / Carer's,2025-12-27,2026-01-03,Approved,system-approval-workflow,2025-12-19
LV-00024,EMP-00087,Personal / Carer's,2025-10-14,2025-10-24,Cancelled,,2025-10-04
LV-00025,EMP-00059,Annual,2026-07-09,2026-07-10,Approved,system-approval-workflow,2026-07-05
LV-00026,EMP-00036,Personal / Carer's,2026-07-30,2026-08-07,Cancelled,,2026-07-19
LV-00027,EMP-00054,Annual,2026-04-18,2026-04-25,Pending,,2026-04-11
LV-00028,EMP-00106,Annual,2025-11-16,2025-11-22,Cancelled,,2025-11-13
LV-00029,EMP-00147,Sick,2025-12-29,2025-12-31,Cancelled,,2025-12-26
LV-00030,EMP-00090,Annual,2025-08-15,2025-08-25,Pending,,2025-07-31
LV-00031,EMP-00027,Sick,2025-11-29,2025-12-01,Approved,system-approval-workflow,2025-11-21
