outcome_id,appointment_id,client_satisfaction_score,outcome_quality_score,incident_flag,incident_severity,goal_achieved_flag,follow_up_required_flag
OUT-000001,APT-000002,3.8,81.7,False,,True,False
OUT-000002,APT-000007,2.8,73.3,False,,True,False
OUT-000003,APT-000008,3.4,82.2,False,,False,False
OUT-000004,APT-000010,3.7,79.9,False,,True,False
OUT-000005,APT-000013,4.1,83.7,False,,True,False
OUT-000006,APT-000017,3.8,76.3,False,,True,False
OUT-000007,APT-000019,5.0,71.8,False,,True,False
OUT-000008,APT-000020,4.5,89.8,False,,True,True
OUT-000009,APT-000021,4.9,78.2,False,,True,False
OUT-000010,APT-000023,4.9,85.5,False,,True,False
OUT-000011,APT-000024,5.0,86.8,False,,True,True
OUT-000012,APT-000026,5.0,89.7,False,,True,True
OUT-000013,APT-000027,4.7,84.2,False,,True,False
OUT-000014,APT-000030,4.1,65.6,False,,False,True
OUT-000015,APT-000032,5.0,73.5,False,,True,False
OUT-000016,APT-000033,3.5,81.3,False,,True,False
OUT-000017,APT-000034,4.6,75.5,False,,True,False
OUT-000018,APT-000035,,68.6,False,,True,False
OUT-000019,APT-000038,,92.4,False,,True,False
OUT-000020,APT-000039,4.2,89.8,False,,False,False
OUT-000021,APT-000040,4.3,82.6,False,,True,False
OUT-000022,APT-000042,,85.2,False,,True,False
OUT-000023,APT-000043,4.6,87.4,False,,True,False
OUT-000024,APT-000047,4.1,78.9,False,,True,False
OUT-000025,APT-000048,4.5,86.4,False,,True,False
OUT-000026,APT-000049,4.4,72.2,True,High,True,False
OUT-000027,APT-000050,3.9,65.2,False,,True,True
OUT-000028,APT-000051,5.0,99.7,False,,True,True
OUT-000029,APT-000052,4.3,81.8,False,,True,False
OUT-000030,APT-000053,3.4,72.0,False,,False,False
OUT-000031,APT-000054,3.0,84.2,False,,True,False
OUT-000032,APT-000055,4.5,96.4,False,,True,False
OUT-000033,APT-000056,4.3,86.3,False,,False,True
OUT-000034,APT-000057,3.7,66.5,False,,True,False
OUT-000035,APT-000059,4.2,82.9,False,,True,False
OUT-000036,APT-000060,5.0,88.6,False,,True,False
OUT-000037,APT-000062,3.3,99.9,False,,True,False
OUT-000038,APT-000065,3.5,82.7,False,,True,False
OUT-000039,APT-000066,5.0,85.2,False,,True,False
OUT-000040,APT-000067,5.0,92.7,False,,True,False
OUT-000041,APT-000069,,85.0,False,,False,False
OUT-000042,APT-000070,5.0,74.8,False,,True,False
OUT-000043,APT-000071,3.7,95.4,False,,True,True
OUT-000044,APT-000072,,87.5,False,,True,True
OUT-000045,APT-000073,4.0,76.1,False,,True,True
