request_id,client_id,service_type_id,location_id,requested_date,requested_by,urgency,complexity_score,requested_channel,status
REQ-000001,CLT-00369,SVC-02,LOC-05,2025-08-01,Client,Routine,34.2,Portal,Cancelled
REQ-000002,CLT-00457,SVC-01,LOC-05,2025-08-01,Client,Routine,35.2,Phone,Completed
REQ-000003,CLT-00079,SVC-01,LOC-05,2025-08-01,Client,Routine,9.9,Phone,Cancelled
REQ-000004,CLT-00499,SVC-02,LOC-10,2025-08-01,Case Manager,Routine,85.4,Portal,Cancelled
REQ-000005,CLT-00353,SVC-02,LOC-10,2025-08-01,Case Manager,Urgent,26.6,Portal,Cancelled
REQ-000006,CLT-00041,SVC-07,LOC-07,2025-08-01,Client,Priority,71.5,Portal,Cancelled
REQ-000007,CLT-00512,SVC-06,LOC-09,2025-08-01,Case Manager,Urgent,33.5,Portal,Completed
REQ-000008,CLT-00255,SVC-09,LOC-01,2025-08-01,Case Manager,Urgent,,Referral,Completed
REQ-000009,CLT-00131,SVC-07,LOC-06,2025-08-01,Family Member,Routine,62.1,Phone,Cancelled
REQ-000010,CLT-00301,SVC-05,LOC-01,2025-08-01,Family Member,Priority,78.1,Phone,Backlog
REQ-000011,CLT-00072,SVC-06,LOC-08,2025-08-01,Client,Routine,15.8,Portal,Completed
REQ-000012,CLT-00182,SVC-07,LOC-02,2025-08-01,Client,Routine,37.6,Portal,Cancelled
REQ-000013,CLT-00258,SVC-09,LOC-07,2025-08-01,GP / Clinician,Priority,57.2,Phone,Scheduled
REQ-000014,CLT-00024,SVC-01,LOC-04,2025-08-01,Client,Routine,13.1,Portal,Backlog
REQ-000015,CLT-00266,SVC-05,LOC-10,2025-08-01,Family Member,Routine,65.1,Phone,Completed
REQ-000016,CLT-00264,SVC-04,LOC-03,2025-08-01,Client,Priority,7.6,Portal,Cancelled
REQ-000017,CLT-00163,SVC-03,LOC-09,2025-08-01,Client,Routine,12.3,Portal,Cancelled
REQ-000018,CLT-00503,SVC-04,LOC-10,2025-08-01,Client,Urgent,11.8,Phone,Scheduled
REQ-000019,CLT-00454,SVC-08,LOC-04,2025-08-01,Case Manager,Priority,68.5,Case Manager,Completed
REQ-000020,CLT-00430,SVC-07,LOC-01,2025-08-01,Case Manager,Priority,42.9,Phone,Cancelled
REQ-000021,CLT-00382,SVC-09,LOC-06,2025-08-01,Client,Routine,37.8,Case Manager,Completed
REQ-000022,CLT-00226,SVC-05,LOC-09,2025-08-01,Family Member,Routine,41.1,Phone,Completed
REQ-000023,CLT-00170,SVC-01,LOC-02,2025-08-02,Client,Priority,38.3,Phone,Completed
REQ-000024,CLT-00174,SVC-03,LOC-06,2025-08-02,Family Member,Priority,33.4,Referral,Cancelled
REQ-000025,CLT-00273,SVC-06,LOC-08,2025-08-02,GP / Clinician,Routine,25.0,Referral,Backlog
REQ-000026,CLT-00354,SVC-01,LOC-07,2025-08-02,Client,Routine,12.8,Portal,Completed
REQ-000027,CLT-00210,SVC-04,LOC-01,2025-08-02,Client,Routine,54.7,Phone,Completed
REQ-000028,CLT-00352,SVC-05,LOC-03,2025-08-02,Case Manager,Emergency,69.4,Referral,Cancelled
REQ-000029,CLT-00328,SVC-09,LOC-03,2025-08-02,Client,Priority,7.8,Portal,Completed
REQ-000030,CLT-00265,SVC-01,LOC-01,2025-08-02,Family Member,Routine,34.2,Phone,Completed
REQ-000031,CLT-00135,SVC-01,LOC-04,2025-08-02,GP / Clinician,Routine,88.0,Referral,Cancelled
REQ-000032,CLT-00039,SVC-04,LOC-03,2025-08-02,Client,Routine,17.0,Portal,Backlog
REQ-000033,CLT-00459,SVC-02,LOC-05,2025-08-02,Client,Routine,46.5,Phone,Cancelled
REQ-000034,CLT-00442,SVC-07,LOC-05,2025-08-03,Client,Urgent,34.6,Phone,Completed
REQ-000035,CLT-00324,SVC-02,LOC-06,2025-08-03,Case Manager,Routine,36.5,Phone,Cancelled
REQ-000036,CLT-00390,SVC-03,LOC-07,2025-08-03,Client,Priority,34.4,Referral,Completed
REQ-000037,CLT-00026,SVC-02,LOC-01,2025-08-03,Case Manager,Priority,35.4,Portal,Completed
REQ-000038,CLT-00382,SVC-01,LOC-06,2025-08-03,Client,Routine,29.4,Phone,Completed
REQ-000039,CLT-00394,SVC-07,LOC-02,2025-08-03,Case Manager,Urgent,76.1,Referral,Completed
REQ-000040,CLT-00080,SVC-06,LOC-01,2025-08-03,Case Manager,Priority,97.1,Case Manager,Backlog
REQ-000041,CLT-00516,SVC-06,LOC-09,2025-08-03,Client,Routine,26.2,Phone,Cancelled
REQ-000042,CLT-00453,SVC-06,LOC-06,2025-08-03,Client,Priority,65.8,Case Manager,Cancelled
REQ-000043,CLT-00400,SVC-04,LOC-10,2025-08-04,Case Manager,Routine,11.7,Phone,Completed
REQ-000044,CLT-00270,SVC-01,LOC-02,2025-08-04,Family Member,Urgent,54.7,Phone,Completed
REQ-000045,CLT-00160,SVC-01,LOC-10,2025-08-04,Client,Routine,42.1,Case Manager,Completed
REQ-000046,CLT-00519,SVC-02,LOC-08,2025-08-04,Client,Priority,44.9,Phone,Cancelled
REQ-000047,CLT-00508,SVC-08,LOC-10,2025-08-04,Client,Priority,36.1,Referral,Completed
REQ-000048,CLT-00448,SVC-05,LOC-07,2025-08-04,Client,Priority,39.4,Phone,Completed
REQ-000049,CLT-00415,SVC-02,LOC-07,2025-08-04,Client,Priority,53.3,Referral,Cancelled
