request_id,requested_date,scheduled_date,completed_date,waiting_hours_to_schedule,waiting_days_to_schedule,sla_target_hours,sla_met_flag
REQ-000001,2025-08-01,2025-08-02,,29.3,1.22,168,True
REQ-000002,2025-08-01,2025-08-01,2025-08-01,20.5,0.86,168,True
REQ-000003,2025-08-01,2025-08-01,,21.2,0.88,168,True
REQ-000004,2025-08-01,2025-08-01,,14.7,0.61,218,True
REQ-000005,2025-08-01,2025-08-01,,20.8,0.87,31,True
REQ-000006,2025-08-01,2025-08-01,,13.4,0.56,79,True
REQ-000007,2025-08-01,2025-08-02,2025-08-02,27.8,1.16,31,True
REQ-000008,2025-08-01,2025-08-01,2025-08-01,5.7,0.24,24,True
REQ-000009,2025-08-01,2025-08-02,,45.0,1.87,185,True
REQ-000011,2025-08-01,2025-08-02,2025-08-02,44.9,1.87,218,True
REQ-000012,2025-08-01,2025-08-02,,32.9,1.37,168,True
REQ-000013,2025-08-01,2025-08-03,,68.8,2.87,79,True
REQ-000015,2025-08-01,2025-08-03,2025-08-03,50.3,2.09,218,True
REQ-000016,2025-08-01,2025-08-01,,4.8,0.2,72,True
REQ-000017,2025-08-01,2025-08-02,,27.7,1.15,218,True
REQ-000018,2025-08-01,2025-08-01,,5.6,0.23,31,True
REQ-000019,2025-08-01,2025-08-03,2025-08-03,53.0,2.21,72,True
REQ-000020,2025-08-01,2025-08-02,,28.0,1.17,72,True
REQ-000021,2025-08-01,2025-08-04,2025-08-04,76.2,3.18,185,True
REQ-000022,2025-08-01,2025-08-02,2025-08-02,39.6,1.65,218,True
REQ-000023,2025-08-02,2025-08-02,2025-08-02,16.7,0.69,72,True
REQ-000024,2025-08-02,2025-08-02,,13.0,0.54,79,True
REQ-000026,2025-08-02,2025-08-02,2025-08-02,11.7,0.49,185,True
REQ-000027,2025-08-02,2025-08-03,2025-08-03,41.7,1.74,168,True
REQ-000028,2025-08-02,2025-08-02,,4.1,0.17,4,False
REQ-000029,2025-08-02,2025-08-03,2025-08-03,27.7,1.16,72,True
REQ-000030,2025-08-02,2025-08-02,2025-08-02,2.1,0.09,168,True
REQ-000031,2025-08-02,2025-08-02,,22.4,0.93,168,True
REQ-000033,2025-08-02,2025-08-03,,27.9,1.16,168,True
REQ-000034,2025-08-03,2025-08-03,2025-08-03,9.0,0.37,24,True
REQ-000035,2025-08-03,2025-08-06,,79.5,3.31,185,True
REQ-000036,2025-08-03,2025-08-05,2025-08-05,56.4,2.35,79,True
REQ-000037,2025-08-03,2025-08-03,2025-08-03,11.9,0.5,72,True
REQ-000038,2025-08-03,2025-08-06,2025-08-06,87.3,3.64,185,True
REQ-000039,2025-08-03,2025-08-03,2025-08-03,7.2,0.3,24,True
REQ-000041,2025-08-03,2025-08-04,,39.2,1.63,218,True
REQ-000042,2025-08-03,2025-08-05,,68.2,2.84,79,True
REQ-000043,2025-08-04,2025-08-05,2025-08-05,26.7,1.11,218,True
