target_id,service_type_id,location_id,urgency,target_response_hours,target_completion_days,min_sla_percent
SLT-0001,SVC-01,LOC-01,Routine,168,7,90
SLT-0002,SVC-01,LOC-02,Routine,168,7,90
SLT-0003,SVC-01,LOC-03,Routine,168,7,90
SLT-0004,SVC-01,LOC-04,Routine,168,7,90
SLT-0005,SVC-01,LOC-05,Routine,168,7,90
SLT-0006,SVC-01,LOC-06,Routine,185,8,90
SLT-0007,SVC-01,LOC-07,Routine,185,8,90
SLT-0008,SVC-01,LOC-08,Routine,218,9,90
SLT-0009,SVC-01,LOC-09,Routine,218,9,90
SLT-0010,SVC-01,LOC-10,Routine,218,9,90
SLT-0011,SVC-01,LOC-01,Priority,72,3,90
SLT-0012,SVC-01,LOC-02,Priority,72,3,90
SLT-0013,SVC-01,LOC-03,Priority,72,3,90
SLT-0014,SVC-01,LOC-04,Priority,72,3,90
SLT-0015,SVC-01,LOC-05,Priority,72,3,90
SLT-0016,SVC-01,LOC-06,Priority,79,3,90
SLT-0017,SVC-01,LOC-07,Priority,79,3,90
SLT-0018,SVC-01,LOC-08,Priority,94,4,90
SLT-0019,SVC-01,LOC-09,Priority,94,4,90
SLT-0020,SVC-01,LOC-10,Priority,94,4,90
SLT-0021,SVC-01,LOC-01,Urgent,24,1,95
SLT-0022,SVC-01,LOC-02,Urgent,24,1,95
SLT-0023,SVC-01,LOC-03,Urgent,24,1,95
SLT-0024,SVC-01,LOC-04,Urgent,24,1,95
SLT-0025,SVC-01,LOC-05,Urgent,24,1,95
SLT-0026,SVC-01,LOC-06,Urgent,26,1,95
SLT-0027,SVC-01,LOC-07,Urgent,26,1,95
SLT-0028,SVC-01,LOC-08,Urgent,31,1,95
SLT-0029,SVC-01,LOC-09,Urgent,31,1,95
SLT-0030,SVC-01,LOC-10,Urgent,31,1,95
SLT-0031,SVC-01,LOC-01,Emergency,4,1,95
SLT-0032,SVC-01,LOC-02,Emergency,4,1,95
SLT-0033,SVC-01,LOC-03,Emergency,4,1,95
SLT-0034,SVC-01,LOC-04,Emergency,4,1,95
SLT-0035,SVC-01,LOC-05,Emergency,4,1,95
SLT-0036,SVC-01,LOC-06,Emergency,4,1,95
SLT-0037,SVC-01,LOC-07,Emergency,4,1,95
SLT-0038,SVC-01,LOC-08,Emergency,5,1,95
SLT-0039,SVC-01,LOC-09,Emergency,5,1,95
SLT-0040,SVC-01,LOC-10,Emergency,5,1,95
SLT-0041,SVC-02,LOC-01,Routine,168,7,90
SLT-0042,SVC-02,LOC-02,Routine,168,7,90
SLT-0043,SVC-02,LOC-03,Routine,168,7,90
SLT-0044,SVC-02,LOC-04,Routine,168,7,90
SLT-0045,SVC-02,LOC-05,Routine,168,7,90
SLT-0046,SVC-02,LOC-06,Routine,185,8,90
SLT-0047,SVC-02,LOC-07,Routine,185,8,90
SLT-0048,SVC-02,LOC-08,Routine,218,9,90
SLT-0049,SVC-02,LOC-09,Routine,218,9,90
SLT-0050,SVC-02,LOC-10,Routine,218,9,90
SLT-0051,SVC-02,LOC-01,Priority,72,3,90
SLT-0052,SVC-02,LOC-02,Priority,72,3,90
SLT-0053,SVC-02,LOC-03,Priority,72,3,90
SLT-0054,SVC-02,LOC-04,Priority,72,3,90
SLT-0055,SVC-02,LOC-05,Priority,72,3,90
SLT-0056,SVC-02,LOC-06,Priority,79,3,90
SLT-0057,SVC-02,LOC-07,Priority,79,3,90
SLT-0058,SVC-02,LOC-08,Priority,94,4,90
SLT-0059,SVC-02,LOC-09,Priority,94,4,90
SLT-0060,SVC-02,LOC-10,Priority,94,4,90
SLT-0061,SVC-02,LOC-01,Urgent,24,1,95
