appointment_id,request_id,employee_id,location_id,service_type_id,scheduled_date,scheduled_start,status,travel_minutes,override_flag,override_reason
APT-000001,REQ-000001,EMP-00106,LOC-05,SVC-02,2025-08-02,16:45,Cancelled,4,False,
APT-000002,REQ-000002,EMP-00070,LOC-05,SVC-01,2025-08-01,13:45,Completed,26,False,
APT-000003,REQ-000003,EMP-00054,LOC-05,SVC-01,2025-08-01,07:45,Cancelled,33,False,
APT-000004,REQ-000004,EMP-00025,LOC-10,SVC-02,2025-08-01,09:30,Cancelled,15,False,
APT-000005,REQ-000005,EMP-00018,LOC-10,SVC-02,2025-08-01,08:30,No-show,16,False,
APT-000006,REQ-000006,EMP-00021,LOC-07,SVC-07,2025-08-01,10:45,Cancelled,61,False,
APT-000007,REQ-000007,EMP-00040,LOC-09,SVC-06,2025-08-02,11:30,Completed,37,False,
APT-000008,REQ-000008,EMP-00123,LOC-01,SVC-09,2025-08-01,10:00,Completed,28,False,
APT-000009,REQ-000009,EMP-00148,LOC-06,SVC-07,2025-08-02,14:15,No-show,28,False,
APT-000010,REQ-000011,EMP-00024,LOC-08,SVC-06,2025-08-02,15:15,Completed,29,False,
APT-000011,REQ-000012,EMP-00042,LOC-02,SVC-07,2025-08-02,07:00,No-show,18,False,
APT-000012,REQ-000013,EMP-00043,LOC-07,SVC-09,2025-08-03,15:45,Rescheduled,14,False,
APT-000013,REQ-000015,EMP-00134,LOC-10,SVC-05,2025-08-03,08:30,Completed,3,False,
APT-000014,REQ-000016,EMP-00123,LOC-03,SVC-04,2025-08-01,08:00,Cancelled,6,False,
APT-000015,REQ-000017,EMP-00103,LOC-09,SVC-03,2025-08-02,11:00,Cancelled,74,False,
APT-000016,REQ-000018,EMP-00035,LOC-10,SVC-04,2025-08-01,15:00,Rescheduled,39,False,
APT-000017,REQ-000019,EMP-00039,LOC-04,SVC-08,2025-08-03,16:30,Completed,31,False,
APT-000018,REQ-000020,EMP-00109,LOC-01,SVC-07,2025-08-02,15:30,Cancelled,19,False,
APT-000019,REQ-000021,EMP-00094,LOC-06,SVC-09,2025-08-04,07:45,Completed,3,False,
APT-000020,REQ-000022,EMP-00039,LOC-09,SVC-05,2025-08-02,08:45,Completed,38,False,
