client_id,location_id,client_since_date,complexity_tier,preferred_language,active_flag,consent_data_use_flag,communication_preference
CLT-00001,LOC-04,2022-03-31,High,Vietnamese,True,True,Phone
CLT-00002,LOC-10,2024-07-04,Low,Italian,True,True,Email
CLT-00003,LOC-09,2019-12-04,Medium,English,True,True,Phone
CLT-00004,LOC-06,2022-03-21,Critical,English,True,True,Phone
CLT-00005,LOC-07,2021-02-18,Medium,English,True,True,Phone
CLT-00006,LOC-09,2021-05-22,Medium,English,True,True,Phone
CLT-00007,LOC-08,2024-04-20,High,Vietnamese,True,True,Phone
CLT-00008,LOC-07,2020-02-17,Critical,Italian,True,True,Email
CLT-00009,LOC-07,2022-12-30,Low,English,False,True,SMS
CLT-00010,LOC-05,2023-06-07,Medium,English,True,True,SMS
CLT-00011,LOC-10,2023-03-26,Critical,English,True,True,Phone
CLT-00012,LOC-05,2021-01-30,High,English,True,True,Phone
CLT-00013,LOC-05,2022-06-21,Medium,English,True,True,Phone
CLT-00014,LOC-02,2024-03-28,High,English,True,True,Email
CLT-00015,LOC-05,2025-04-25,Medium,English,True,True,Phone
CLT-00016,LOC-05,2025-06-16,Medium,Vietnamese,True,True,Phone
CLT-00017,LOC-06,2025-05-07,Low,Arabic,True,True,Phone
CLT-00018,LOC-01,2023-12-24,High,English,True,True,Phone
CLT-00019,LOC-07,2020-01-07,Low,English,True,True,Phone
CLT-00020,LOC-09,2025-01-30,Low,English,True,True,Phone
