employee_id,week_start_date,rostered_hours,actual_hours_worked,contracted_hours,overtime_hours,overtime_approved_flag
EMP-00002,2025-07-28,8.0,7.89,16.0,0.0,False
EMP-00002,2025-08-04,16.0,16.07,16.0,0.07,True
EMP-00002,2025-08-11,24.0,24.08,16.0,8.08,True
EMP-00002,2025-08-18,16.0,15.76,16.0,0.0,False
EMP-00002,2025-08-25,24.0,24.48,16.0,8.48,True
EMP-00002,2025-09-01,28.0,28.52,16.0,12.52,True
EMP-00002,2025-09-08,16.0,15.88,16.0,0.0,False
EMP-00002,2025-09-15,24.0,24.22,16.0,8.22,True
EMP-00002,2025-09-22,26.0,26.71,16.0,10.71,True
EMP-00002,2025-09-29,16.0,16.63,16.0,0.63,True
EMP-00002,2025-10-06,16.0,16.03,16.0,0.03,True
EMP-00002,2025-10-13,24.0,26.380000000000003,16.0,10.38,True
EMP-00002,2025-10-20,24.0,24.08,16.0,8.08,True
EMP-00002,2025-10-27,24.0,24.1,16.0,8.1,True
EMP-00002,2025-11-03,24.0,24.06,16.0,8.06,True
EMP-00002,2025-11-10,24.0,24.74,16.0,8.74,True
EMP-00002,2025-11-17,24.0,23.88,16.0,7.88,True
EMP-00002,2025-11-24,24.0,24.19,16.0,8.19,True
EMP-00002,2025-12-01,16.0,18.73,16.0,2.73,False
EMP-00002,2025-12-08,16.0,15.86,16.0,0.0,False
