shift_id,employee_id,shift_date,location_id,shift_type,planned_start,planned_end,planned_hours,actual_hours,status,is_overtime_flag
SFT-000001,EMP-00002,2025-08-03,LOC-10,PM,13:00,21:00,8.0,7.89,Completed,False
SFT-000002,EMP-00002,2025-08-04,LOC-10,AM,07:00,15:00,8.0,8.03,Completed,False
SFT-000003,EMP-00002,2025-08-05,LOC-10,PM,13:00,21:00,8.0,8.04,Completed,False
SFT-000004,EMP-00002,2025-08-10,LOC-10,AM,07:00,15:00,8.0,0.0,No-show,False
SFT-000005,EMP-00002,2025-08-11,LOC-10,PM,13:00,21:00,8.0,7.91,Completed,False
SFT-000006,EMP-00002,2025-08-12,LOC-10,AM,07:00,15:00,8.0,8.12,Completed,False
SFT-000007,EMP-00002,2025-08-17,LOC-10,Night,21:00,07:00,8.0,8.05,Completed,False
SFT-000008,EMP-00002,2025-08-18,LOC-10,AM,07:00,15:00,8.0,8.08,Completed,False
SFT-000009,EMP-00002,2025-08-19,LOC-10,AM,07:00,15:00,8.0,7.68,Completed,False
SFT-000010,EMP-00002,2025-08-24,LOC-10,AM,07:00,15:00,8.0,0.0,Cancelled,False
SFT-000011,EMP-00002,2025-08-25,LOC-10,AM,07:00,15:00,8.0,8.27,Completed,False
SFT-000012,EMP-00002,2025-08-26,LOC-10,AM,07:00,15:00,8.0,8.02,Completed,False
SFT-000013,EMP-00002,2025-08-31,LOC-10,AM,07:00,15:00,8.0,8.19,Completed,False
SFT-000014,EMP-00002,2025-09-01,LOC-10,Split,07:00,19:00,10.0,10.29,Completed,False
SFT-000015,EMP-00002,2025-09-02,LOC-10,AM,07:00,15:00,8.0,8.13,Completed,False
SFT-000016,EMP-00002,2025-09-07,LOC-10,Split,07:00,19:00,10.0,10.1,Completed,False
SFT-000017,EMP-00002,2025-09-08,LOC-10,PM,13:00,21:00,8.0,8.0,Completed,False
SFT-000018,EMP-00002,2025-09-09,LOC-10,Night,21:00,07:00,8.0,7.88,Completed,False
SFT-000019,EMP-00002,2025-09-14,LOC-10,PM,13:00,21:00,8.0,0.0,Cancelled,False
SFT-000020,EMP-00002,2025-09-15,LOC-10,AM,07:00,15:00,8.0,8.32,Completed,False
