client_id,location_id,client_since_date,complexity_tier,active_flag,consent_data_use_flag
CLT-00008,LOC-07,2020-02-17,Critical,True,True
CLT-00009,LOC-07,2022-12-30,Low,False,True
CLT-00010,LOC-05,2023-06-07,Medium,True,True
CLT-00011,LOC-10,2023-03-26,Critical,True,True
CLT-00016,LOC-05,2025-06-16,Medium,True,True
CLT-00017,LOC-06,2025-05-07,Low,True,True
CLT-00019,LOC-07,2020-01-07,Low,True,True
CLT-00023,LOC-10,2024-05-05,Low,True,True
CLT-00024,LOC-04,2023-10-13,Low,True,True
CLT-00026,LOC-01,2022-11-19,Medium,True,True
CLT-00034,LOC-10,2023-05-03,Medium,True,True
CLT-00036,LOC-10,2024-07-23,Low,True,True
CLT-00039,LOC-03,2022-10-22,Low,True,True
CLT-00046,LOC-06,2025-01-13,Medium,True,True
CLT-00051,LOC-07,2022-02-07,Medium,True,True
CLT-00055,LOC-06,2022-06-28,Medium,True,True
CLT-00058,LOC-07,2023-10-30,Low,True,True
CLT-00064,LOC-03,2024-04-26,Medium,True,True
CLT-00066,LOC-10,2023-08-29,Medium,True,True
CLT-00068,LOC-10,2023-11-10,Low,True,True
CLT-00071,LOC-02,2022-02-16,High,True,True
CLT-00076,LOC-05,2025-05-02,Critical,True,True
CLT-00085,LOC-10,2019-12-06,Low,True,True
CLT-00086,LOC-07,2019-12-27,Medium,True,True
CLT-00089,LOC-09,2024-09-06,Low,True,True
CLT-00091,LOC-04,2021-06-14,Low,True,True
CLT-00100,LOC-03,2024-02-15,Medium,True,True
CLT-00103,LOC-10,2021-11-10,Low,True,True
CLT-00104,LOC-07,2022-02-06,Medium,True,True
CLT-00105,LOC-10,2025-05-03,Low,True,True
CLT-00106,LOC-04,2022-06-03,Low,True,True
CLT-00107,LOC-08,2022-04-26,Low,True,True
CLT-00108,LOC-09,2021-01-17,Low,True,True
CLT-00109,LOC-08,2021-07-30,Low,True,True
CLT-00110,LOC-03,2020-03-07,Medium,True,True
CLT-00116,LOC-09,2020-08-05,Critical,True,True
CLT-00132,LOC-02,2023-09-25,High,True,True
CLT-00140,LOC-02,2022-07-05,Critical,False,True
CLT-00144,LOC-03,2025-02-23,Medium,True,True
CLT-00146,LOC-03,2023-06-24,Medium,True,True
CLT-00152,LOC-09,2025-04-13,High,True,True
CLT-00157,LOC-07,2023-06-04,Low,True,True
CLT-00160,LOC-10,2022-11-18,Medium,True,True
CLT-00162,LOC-02,2022-08-21,Low,True,True
CLT-00172,LOC-07,2021-09-24,Low,True,True
CLT-00179,LOC-01,2024-07-06,Low,True,True
CLT-00180,LOC-08,2024-11-17,Low,True,True
CLT-00186,LOC-03,2024-11-05,Low,True,True
CLT-00187,LOC-06,2021-01-08,Low,True,True
CLT-00194,LOC-09,2023-09-16,High,True,True
CLT-00197,LOC-05,2022-09-06,Medium,True,True
CLT-00202,LOC-08,2025-03-21,High,True,True
CLT-00208,LOC-09,2019-10-03,Low,True,True
CLT-00216,LOC-04,2020-06-13,Low,True,True
CLT-00217,LOC-06,2021-04-25,Low,True,True
CLT-00218,LOC-01,2023-11-12,High,True,True
CLT-00221,LOC-02,2021-07-26,Critical,True,True
CLT-00232,LOC-02,2020-08-29,Medium,True,True
CLT-00238,LOC-04,2021-04-19,Low,True,True
CLT-00259,LOC-02,2020-02-13,Low,True,True
CLT-00264,LOC-03,2023-11-25,Low,True,True
CLT-00265,LOC-01,2025-05-05,Low,True,True
CLT-00268,LOC-04,2025-01-21,Low,True,True
CLT-00271,LOC-03,2025-06-18,Critical,True,True
CLT-00275,LOC-02,2023-03-05,High,True,True
CLT-00285,LOC-05,2019-09-23,Medium,True,True
CLT-00287,LOC-05,2023-01-03,High,True,True
CLT-00293,LOC-07,2024-11-30,Low,True,True
CLT-00295,LOC-05,2025-04-13,High,True,True
CLT-00299,LOC-08,2023-03-17,Low,True,True
CLT-00302,LOC-02,2022-04-02,High,True,True
CLT-00305,LOC-08,2022-08-12,Low,True,True
CLT-00311,LOC-10,2019-11-19,Medium,False,True
CLT-00316,LOC-06,2024-07-20,Low,True,True
CLT-00323,LOC-07,2024-07-09,Low,True,True
CLT-00328,LOC-03,2019-10-19,Low,True,True
CLT-00329,LOC-08,2020-03-16,Medium,True,True
CLT-00331,LOC-06,2024-06-06,Medium,True,True
CLT-00348,LOC-10,2024-03-19,Low,True,True
CLT-00351,LOC-08,2025-02-21,Low,True,True
CLT-00358,LOC-08,2025-05-18,Low,True,True
CLT-00359,LOC-07,2023-02-24,Medium,True,True
CLT-00362,LOC-03,2022-11-21,Medium,True,True
CLT-00367,LOC-01,2024-04-25,Low,True,True
CLT-00368,LOC-06,2021-05-04,High,True,True
CLT-00378,LOC-07,2019-10-28,Low,True,True
CLT-00383,LOC-09,2019-12-15,Medium,True,True
CLT-00396,LOC-03,2023-02-22,Low,True,True
CLT-00406,LOC-01,2022-08-02,Medium,True,True
CLT-00410,LOC-02,2022-05-13,High,True,True
CLT-00416,LOC-04,2023-06-19,Low,True,True
CLT-00424,LOC-04,2023-01-10,High,True,True
CLT-00427,LOC-01,2023-01-31,Medium,True,True
CLT-00428,LOC-03,2020-06-03,Medium,True,True
CLT-00429,LOC-03,2023-06-15,Low,True,True
CLT-00437,LOC-09,2021-10-22,Low,True,True
CLT-00463,LOC-06,2021-12-11,Critical,True,True
CLT-00467,LOC-05,2019-08-03,Critical,True,True
CLT-00472,LOC-09,2021-05-13,Low,True,True
CLT-00475,LOC-03,2021-01-25,Medium,True,True
CLT-00478,LOC-08,2023-02-20,Low,True,True
CLT-00489,LOC-06,2024-08-10,Low,True,True
CLT-00492,LOC-02,2020-07-07,Medium,True,True
CLT-00497,LOC-03,2020-06-04,Medium,True,True
CLT-00499,LOC-10,2020-11-06,Critical,True,True
CLT-00504,LOC-06,2020-06-28,High,True,True
CLT-00515,LOC-02,2021-03-13,Medium,False,True
CLT-00517,LOC-06,2024-10-21,Low,True,True
CLT-00520,LOC-03,2022-04-27,Critical,True,True
CLT-00001,LOC-04,2022-03-31,High,True,True
CLT-00005,LOC-07,2021-02-18,Medium,True,True
CLT-00006,LOC-09,2021-05-22,Medium,True,True
CLT-00007,LOC-08,2024-04-20,High,True,True
CLT-00038,LOC-01,2021-04-02,Low,True,True
CLT-00044,LOC-10,2025-04-10,High,True,True
CLT-00047,LOC-06,2022-09-28,Medium,False,True
CLT-00053,LOC-01,2020-11-07,Medium,True,True
CLT-00073,LOC-10,2019-11-05,High,True,True
CLT-00088,LOC-03,2023-06-18,Low,True,True
CLT-00094,LOC-06,2021-01-21,Medium,True,True
CLT-00095,LOC-04,2022-04-29,Low,True,True
CLT-00111,LOC-05,2022-05-28,Low,True,True
CLT-00114,LOC-01,2019-12-06,Low,True,True
CLT-00115,LOC-08,2020-12-25,Medium,True,True
CLT-00121,LOC-02,2022-08-29,High,True,True
CLT-00123,LOC-09,2021-03-02,High,True,True
CLT-00126,LOC-05,2023-07-12,Low,True,True
CLT-00127,LOC-08,2024-03-09,Medium,True,True
CLT-00130,LOC-01,2023-01-06,Medium,True,True
CLT-00131,LOC-06,2022-12-10,High,True,True
CLT-00135,LOC-04,2024-08-17,Critical,True,True
CLT-00136,LOC-01,2024-06-16,Medium,True,True
CLT-00138,LOC-04,2025-06-13,Low,True,True
CLT-00139,LOC-02,2023-09-29,Medium,True,True
CLT-00141,LOC-10,2025-04-19,Medium,True,True
CLT-00142,LOC-04,2025-05-16,Medium,True,True
CLT-00148,LOC-02,2020-10-14,High,True,True
CLT-00149,LOC-10,2024-01-17,Low,True,True
CLT-00165,LOC-07,2022-10-04,Critical,True,True
CLT-00166,LOC-02,2024-01-05,Low,True,True
CLT-00170,LOC-02,2022-10-05,Medium,True,True
CLT-00175,LOC-01,2020-06-06,High,True,True
CLT-00176,LOC-01,2024-12-31,High,False,True
CLT-00177,LOC-08,2025-04-16,Medium,True,True
CLT-00181,LOC-03,2022-12-24,Low,True,True
CLT-00182,LOC-02,2022-01-16,Medium,True,True
CLT-00189,LOC-08,2025-06-26,High,True,True
CLT-00191,LOC-06,2020-01-31,Low,True,True
CLT-00193,LOC-07,2022-03-14,Critical,True,True
CLT-00195,LOC-08,2022-08-29,Low,True,True
CLT-00198,LOC-02,2021-02-10,Low,True,True
CLT-00200,LOC-10,2021-12-26,Critical,True,True
CLT-00206,LOC-04,2023-11-16,Critical,True,True
CLT-00212,LOC-01,2021-04-20,Low,True,True
CLT-00214,LOC-04,2019-10-31,Low,True,True
CLT-00223,LOC-04,2022-09-02,Medium,True,True
CLT-00224,LOC-01,2022-02-19,Medium,True,True
CLT-00226,LOC-09,2022-09-05,Medium,True,True
CLT-00229,LOC-01,2025-01-30,Critical,True,True
CLT-00235,LOC-08,2020-08-06,Medium,True,True
CLT-00236,LOC-04,2023-05-13,Low,True,True
CLT-00239,LOC-10,2022-10-26,Medium,True,True
CLT-00241,LOC-09,2020-01-12,High,True,True
CLT-00248,LOC-05,2024-06-28,Medium,True,True
CLT-00250,LOC-05,2025-02-13,Medium,True,True
CLT-00258,LOC-07,2025-06-14,High,True,True
CLT-00263,LOC-06,2019-12-06,Low,True,True
CLT-00269,LOC-08,2020-10-28,High,True,True
CLT-00270,LOC-02,2020-12-14,High,True,True
CLT-00274,LOC-04,2023-11-24,High,False,True
CLT-00277,LOC-09,2021-07-08,Low,True,True
CLT-00280,LOC-02,2024-03-15,Low,True,True
CLT-00286,LOC-07,2025-03-22,Medium,True,True
CLT-00288,LOC-09,2022-01-13,Low,True,True
CLT-00289,LOC-07,2019-09-12,High,True,True
CLT-00291,LOC-03,2021-02-09,Low,True,True
CLT-00301,LOC-01,2025-02-10,Critical,True,True
CLT-00304,LOC-06,2023-11-17,High,True,True
CLT-00332,LOC-06,2022-11-17,Critical,False,True
CLT-00337,LOC-06,2019-07-25,Low,True,True
CLT-00340,LOC-09,2025-05-19,Medium,True,True
CLT-00345,LOC-02,2021-12-03,Low,True,True
CLT-00346,LOC-05,2025-02-28,Low,True,True
CLT-00349,LOC-08,2021-05-06,High,True,True
CLT-00352,LOC-03,2025-02-14,High,True,True
CLT-00354,LOC-07,2023-07-03,Low,True,True
CLT-00355,LOC-09,2021-01-26,Medium,True,True
CLT-00357,LOC-08,2019-09-07,Medium,True,True
CLT-00360,LOC-08,2022-10-15,Medium,True,True
CLT-00363,LOC-01,2023-10-13,Low,True,True
CLT-00370,LOC-09,2025-05-10,Medium,True,True
CLT-00371,LOC-06,2022-09-28,Critical,True,True
CLT-00374,LOC-06,2023-06-04,Medium,True,True
CLT-00376,LOC-01,2020-09-03,High,True,True
CLT-00380,LOC-06,2023-06-18,High,True,True
CLT-00388,LOC-08,2022-01-02,Low,True,True
CLT-00393,LOC-10,2020-04-14,Low,True,True
CLT-00394,LOC-02,2025-02-12,High,True,True
CLT-00395,LOC-07,2019-08-19,Medium,True,True
CLT-00398,LOC-03,2022-02-23,Medium,True,True
CLT-00399,LOC-02,2023-11-03,Critical,True,True
CLT-00402,LOC-10,2024-06-29,Low,True,True
CLT-00404,LOC-06,2021-04-26,Medium,True,True
CLT-00405,LOC-04,2024-11-14,Medium,True,True
CLT-00420,LOC-06,2023-08-06,High,True,True
CLT-00423,LOC-01,2023-10-08,High,True,True
CLT-00438,LOC-03,2024-01-12,Low,True,True
CLT-00443,LOC-07,2020-06-29,High,True,True
CLT-00446,LOC-04,2024-05-29,Low,True,True
CLT-00450,LOC-08,2024-01-07,Critical,True,True
CLT-00451,LOC-09,2020-02-26,Medium,True,True
CLT-00458,LOC-02,2020-06-09,Medium,True,True
CLT-00461,LOC-07,2022-10-13,Low,True,True
CLT-00462,LOC-07,2024-11-11,Low,True,True
CLT-00464,LOC-10,2021-11-21,Low,True,True
CLT-00466,LOC-06,2021-01-07,Low,True,True
CLT-00468,LOC-05,2025-03-15,Low,True,True
CLT-00470,LOC-03,2020-12-31,Medium,True,True
CLT-00479,LOC-10,2023-10-28,Low,True,True
CLT-00481,LOC-04,2024-06-04,High,True,True
CLT-00482,LOC-06,2023-06-12,High,True,True
CLT-00484,LOC-06,2023-12-29,Medium,True,True
CLT-00486,LOC-07,2024-09-17,Medium,True,True
CLT-00496,LOC-01,2021-11-24,Medium,True,True
CLT-00500,LOC-06,2022-06-20,Low,True,True
CLT-00503,LOC-10,2020-10-30,Low,True,True
CLT-00507,LOC-07,2020-05-13,Low,True,True
CLT-00514,LOC-09,2023-02-23,Medium,True,True
CLT-00004,LOC-06,2022-03-21,Critical,True,True
CLT-00012,LOC-05,2021-01-30,High,True,True
CLT-00013,LOC-05,2022-06-21,Medium,True,True
CLT-00015,LOC-05,2025-04-25,Medium,True,True
CLT-00021,LOC-06,2022-04-09,Medium,True,True
