employee_id,primary_role,employment_type,contracted_hours_per_week,fte,base_location_id,hire_date,employment_status,manager_id,tenure_years,hourly_rate_band
EMP-00001,Coordinator,Part-time,20.0,0.53,LOC-03,2024-11-24,On Leave,,1.6865160848733745,Band 3
EMP-00002,Support Worker,Part-time,16.0,0.42,LOC-10,2022-11-23,Active,EMP-00072,3.6906228610540723,Band 2
EMP-00003,Support Worker,Part-time,30.0,0.79,LOC-03,2019-06-19,On Leave,EMP-00074,7.121149897330596,Band 4
EMP-00004,Allied Health Clinician,Part-time,24.0,0.63,LOC-05,2024-02-18,Active,EMP-00029,2.4531143052703626,Band 2
EMP-00005,Coordinator,Casual,8.0,0.21,LOC-01,2019-02-17,Active,,7.455167693360712,Band 2
EMP-00006,Support Worker,Part-time,20.0,0.53,LOC-09,2022-06-05,Active,EMP-00072,4.158795345653662,Band 3
EMP-00007,Coordinator,Full-time,38.0,1.0,LOC-07,2023-10-26,On Leave,,2.7679671457905544,Band 3
EMP-00008,Team Leader,Part-time,16.0,0.42,LOC-05,2020-01-04,Active,,6.576317590691307,Band 1
EMP-00009,Team Leader,Part-time,30.0,0.79,LOC-06,2024-12-11,On Leave,,1.6399726214921286,Band 1
EMP-00010,Support Worker,Part-time,24.0,0.63,LOC-05,2023-12-29,Active,EMP-00035,2.5927446954141,Band 1
EMP-00011,Support Worker,Full-time,38.0,1.0,LOC-06,2024-08-12,Active,EMP-00094,1.9712525667351128,Band 3
EMP-00012,Support Worker,Full-time,38.0,1.0,LOC-08,2024-11-13,On Leave,EMP-00112,1.7166324435318274,Band 2
EMP-00013,Support Worker,Part-time,20.0,0.53,LOC-03,2024-05-01,Active,EMP-00083,2.2532511978097194,Band 1
EMP-00014,Support Worker,Casual,12.0,0.32,LOC-07,2019-02-09,Active,EMP-00001,7.477070499657769,Band 3
EMP-00015,Team Leader,Part-time,24.0,0.63,LOC-05,2024-12-11,Active,,1.6399726214921286,Band 1
EMP-00016,Support Worker,Full-time,38.0,1.0,LOC-08,2019-06-23,Active,EMP-00148,7.110198494182067,Band 2
EMP-00017,Support Worker,Part-time,24.0,0.63,LOC-08,2020-03-04,Active,EMP-00001,6.412046543463381,Band 1
EMP-00018,Support Worker,Part-time,16.0,0.42,LOC-10,2024-04-20,Active,EMP-00148,2.2833675564681726,Band 2
EMP-00019,Support Worker,Casual,12.0,0.32,LOC-01,2022-03-20,On Leave,EMP-00005,4.369609856262834,Band 4
EMP-00020,Support Worker,Part-time,16.0,0.42,LOC-04,2023-08-16,Terminated,EMP-00072,2.9623545516769334,Band 1
EMP-00021,Coordinator,Casual,8.0,0.21,LOC-04,2023-05-18,Active,,3.2087611225188226,Band 2
EMP-00022,Team Leader,Part-time,16.0,0.42,LOC-10,2024-09-29,Active,,1.839835728952772,Band 2
EMP-00023,Support Worker,Casual,16.0,0.42,LOC-03,2018-09-22,Active,EMP-00009,7.860369609856263,Band 1
EMP-00024,Allied Health Clinician,Full-time,38.0,1.0,LOC-05,2025-03-09,Active,EMP-00008,1.3990417522245038,Band 3
EMP-00025,Allied Health Clinician,Casual,12.0,0.32,LOC-01,2022-03-14,Active,EMP-00086,4.386036960985626,Band 1
EMP-00026,Coordinator,Full-time,38.0,1.0,LOC-03,2018-11-29,Terminated,,7.67419575633128,Band 1
EMP-00027,Support Worker,Part-time,24.0,0.63,LOC-03,2025-03-09,Active,EMP-00099,1.3990417522245038,Band 2
EMP-00028,Support Worker,Full-time,38.0,1.0,LOC-02,2023-11-20,Active,EMP-00009,2.6995208761122518,Band 2
EMP-00029,Team Leader,Part-time,20.0,0.53,LOC-01,2019-06-03,On Leave,,7.1649555099247095,Band 1
EMP-00030,Allied Health Clinician,Full-time,38.0,1.0,LOC-05,2023-05-21,Active,EMP-00148,3.2005475701574264,Band 1
EMP-00031,Allied Health Clinician,Full-time,38.0,1.0,LOC-09,2024-06-17,Active,EMP-00041,2.1245722108145104,Band 4
EMP-00032,Support Worker,Casual,16.0,0.42,LOC-05,2019-11-04,Active,EMP-00041,6.743326488706366,Band 1
EMP-00033,Coordinator,Part-time,20.0,0.53,LOC-08,2023-02-24,Active,,3.436002737850787,Band 2
EMP-00034,Support Worker,Part-time,24.0,0.63,LOC-09,2020-11-30,Terminated,EMP-00035,5.670088980150582,Band 1
EMP-00035,Coordinator,Casual,8.0,0.21,LOC-05,2019-04-20,Active,,7.285420944558521,Band 1
EMP-00036,Support Worker,Casual,12.0,0.32,LOC-03,2024-05-03,Active,EMP-00062,2.2477754962354553,Band 1
EMP-00037,Support Worker,Full-time,38.0,1.0,LOC-06,2022-06-25,Active,EMP-00021,4.1040383299110195,Band 2
EMP-00038,Allied Health Clinician,Casual,12.0,0.32,LOC-02,2025-03-13,Active,EMP-00057,1.3880903490759753,Band 2
EMP-00039,Support Worker,Full-time,38.0,1.0,LOC-09,2018-12-27,Active,EMP-00022,7.597535934291581,Band 4
EMP-00040,Support Worker,Casual,16.0,0.42,LOC-10,2019-02-25,Active,EMP-00005,7.433264887063655,Unspecified
EMP-00041,Coordinator,Full-time,38.0,1.0,LOC-10,2023-03-25,Active,,3.356605065023956,Band 2
EMP-00042,Support Worker,Full-time,38.0,1.0,LOC-05,2022-02-20,Active,EMP-00047,4.446269678302532,Band 2
EMP-00043,Support Worker,Full-time,38.0,1.0,LOC-08,2023-11-05,Active,EMP-00086,2.7405886379192332,Band 1
EMP-00044,Support Worker,Casual,12.0,0.32,LOC-09,2020-11-28,Active,EMP-00106,5.675564681724846,Band 1
EMP-00045,Team Leader,Full-time,38.0,1.0,LOC-10,2021-12-17,Terminated,,4.6242299794661195,Band 3
EMP-00046,Support Worker,Casual,16.0,0.42,LOC-10,2024-07-14,Terminated,EMP-00045,2.0506502395619437,Band 3
EMP-00047,Coordinator,Casual,8.0,0.21,LOC-01,2020-06-03,Active,,6.16290212183436,Band 2
EMP-00048,Support Worker,Part-time,16.0,0.42,LOC-08,2021-10-28,On Leave,EMP-00041,4.761122518822724,Band 2
EMP-00049,Allied Health Clinician,Full-time,38.0,1.0,LOC-05,2020-06-05,Active,EMP-00110,6.157426420260096,Band 2
EMP-00050,Support Worker,Casual,16.0,0.42,LOC-03,2020-02-20,Active,EMP-00086,6.447638603696099,Band 1
EMP-00051,Support Worker,Casual,12.0,0.32,LOC-02,2020-04-24,Active,EMP-00117,6.272416153319644,Band 3
EMP-00052,Support Worker,Full-time,38.0,1.0,LOC-08,2018-07-24,Active,EMP-00139,8.02464065708419,Band 3
EMP-00053,Team Leader,Full-time,38.0,1.0,LOC-06,2025-04-10,On Leave,,1.3114305270362765,Band 1
EMP-00054,Support Worker,Part-time,16.0,0.42,LOC-10,2023-05-19,Active,EMP-00117,3.2060232717316905,Band 4
EMP-00055,Allied Health Clinician,Full-time,38.0,1.0,LOC-07,2025-03-13,Active,EMP-00140,1.3880903490759753,Band 1
EMP-00056,Allied Health Clinician,Full-time,38.0,1.0,LOC-02,2023-10-23,Active,EMP-00053,2.7761806981519506,Band 4
EMP-00057,Team Leader,Full-time,38.0,1.0,LOC-09,2024-05-27,Active,,2.1820670773442847,Band 3
EMP-00058,Support Worker,Casual,16.0,0.42,LOC-08,2018-12-22,Active,EMP-00047,7.611225188227242,Band 1
EMP-00059,Support Worker,Full-time,38.0,1.0,LOC-06,2021-09-14,On Leave,EMP-00041,4.8815879534565365,Band 3
EMP-00060,Support Worker,Full-time,38.0,1.0,LOC-10,2020-07-04,Active,EMP-00026,6.078028747433265,Band 2
EMP-00061,Support Worker,Casual,16.0,0.42,LOC-04,2022-08-10,Active,EMP-00106,3.978097193702943,Band 2
EMP-00062,Coordinator,Part-time,16.0,0.42,LOC-02,2021-06-22,Active,,5.111567419575633,Band 2
EMP-00063,Team Leader,Part-time,20.0,0.53,LOC-05,2024-05-23,Active,,2.193018480492813,Band 1
EMP-00064,Support Worker,Full-time,38.0,1.0,LOC-05,2023-05-11,Active,EMP-00099,3.2279260780287475,Band 2
EMP-00065,Support Worker,Full-time,38.0,1.0,LOC-10,2021-04-08,Active,EMP-00112,5.316906228610541,Band 1
EMP-00066,Support Worker,Part-time,16.0,0.42,LOC-07,2020-07-24,Active,EMP-00021,6.023271731690623,Band 3
EMP-00067,Support Worker,Part-time,24.0,0.63,LOC-10,2021-10-19,Active,EMP-00063,4.785763175906913,Band 4
EMP-00068,Support Worker,Part-time,24.0,0.63,LOC-04,2019-11-16,Active,EMP-00026,6.71047227926078,Band 1
EMP-00069,Support Worker,Casual,8.0,0.21,LOC-06,2024-12-15,Active,EMP-00138,1.6290212183436004,Band 3
EMP-00070,Support Worker,Casual,16.0,0.42,LOC-04,2019-06-23,Active,EMP-00033,7.110198494182067,Band 1
EMP-00071,Support Worker,Casual,16.0,0.42,LOC-05,2022-05-04,On Leave,EMP-00015,4.246406570841889,Band 2
EMP-00072,Team Leader,Full-time,38.0,1.0,LOC-06,2024-01-12,On Leave,,2.5544147843942504,Band 3
EMP-00073,Registered Nurse,Part-time,16.0,0.42,LOC-07,2019-11-11,Terminated,EMP-00076,6.72416153319644,Band 1
EMP-00074,Coordinator,Part-time,16.0,0.42,LOC-02,2022-03-14,Terminated,,4.386036960985626,Band 1
EMP-00075,Support Worker,Full-time,38.0,1.0,LOC-08,2018-07-01,Active,EMP-00138,8.087611225188228,Band 3
EMP-00076,Team Leader,Part-time,20.0,0.53,LOC-08,2020-10-14,On Leave,,5.798767967145791,Band 2
EMP-00077,Support Worker,Casual,12.0,0.32,LOC-07,2021-10-06,On Leave,EMP-00139,4.82135523613963,Band 2
EMP-00078,Allied Health Clinician,Full-time,38.0,1.0,LOC-06,2021-12-29,Terminated,EMP-00008,4.591375770020534,Band 4
