appointment_id,request_id,employee_id,location_id,service_type_id,scheduled_date,status,travel_minutes,override_flag,override_reason,cancellation_reason,cancelled_by,notice_hours,rebooked_flag,client_satisfaction_score,outcome_quality_score,incident_flag,goal_achieved_flag,follow_up_required_flag
APT-000001,REQ-000001,EMP-00106,LOC-05,SVC-02,2025-08-02,Cancelled,4,False,,Other,Client,1.5,True,,,,,
APT-000003,REQ-000003,EMP-00054,LOC-05,SVC-01,2025-08-01,Cancelled,33,False,,Other,Employee,0.0,False,,,,,
APT-000004,REQ-000004,EMP-00025,LOC-10,SVC-02,2025-08-01,Cancelled,15,False,,Other,Employee,23.4,True,,,,,
APT-000005,REQ-000005,EMP-00018,LOC-10,SVC-02,2025-08-01,No-show,16,False,,Weather,Client,21.5,True,,,,,
APT-000006,REQ-000006,EMP-00021,LOC-07,SVC-07,2025-08-01,Cancelled,61,False,,Staff illness,Client,16.2,False,,,,,
APT-000009,REQ-000009,EMP-00148,LOC-06,SVC-07,2025-08-02,No-show,28,False,,Staff illness,Client,4.9,True,,,,,
APT-000011,REQ-000012,EMP-00042,LOC-02,SVC-07,2025-08-02,No-show,18,False,,Client unavailable,Client,16.2,True,,,,,
APT-000014,REQ-000016,EMP-00123,LOC-03,SVC-04,2025-08-01,Cancelled,6,False,,Duplicate booking,Employee,25.5,True,,,,,
APT-000015,REQ-000017,EMP-00103,LOC-09,SVC-03,2025-08-02,Cancelled,74,False,,Duplicate booking,Client,9.5,False,,,,,
APT-000018,REQ-000020,EMP-00109,LOC-01,SVC-07,2025-08-02,Cancelled,19,False,,Transport issue,Organisation,28.1,False,,,,,
APT-000022,REQ-000024,EMP-00042,LOC-06,SVC-03,2025-08-02,No-show,30,False,,Client declined,Client,23.3,True,,,,,
APT-000025,REQ-000028,EMP-00032,LOC-03,SVC-05,2025-08-02,Cancelled,33,False,,Duplicate booking,Employee,0.0,True,,,,,
APT-000028,REQ-000031,EMP-00095,LOC-04,SVC-01,2025-08-02,Cancelled,3,False,,Transport issue,Client,18.3,True,,,,,
APT-000029,REQ-000033,EMP-00101,LOC-05,SVC-02,2025-08-03,Cancelled,28,False,,Weather,Client,0.0,False,,,,,
APT-000031,REQ-000035,EMP-00137,LOC-06,SVC-02,2025-08-06,Cancelled,49,False,,Staff illness,Organisation,32.9,False,,,,,
APT-000036,REQ-000041,EMP-00044,LOC-09,SVC-06,2025-08-04,No-show,47,False,,Weather,Client,15.1,True,,,,,
APT-000037,REQ-000042,EMP-00061,LOC-06,SVC-06,2025-08-05,Cancelled,3,False,,Client declined,Client,16.4,False,,,,,
APT-000041,REQ-000046,EMP-00118,LOC-08,SVC-02,2025-08-04,Cancelled,19,False,,Duplicate booking,Employee,42.5,True,,,,,
