shift_id,employee_id,shift_date,location_id,shift_type,planned_start,planned_end,planned_hours,actual_hours,status,is_overtime_flag,hours_outlier_flag
SFT-000001,EMP-00002,2025-08-03,LOC-10,PM,13:00:00,21:00:00,8.0,7.89,Completed,False,False
SFT-000002,EMP-00002,2025-08-04,LOC-10,AM,07:00:00,15:00:00,8.0,8.03,Completed,False,False
SFT-000003,EMP-00002,2025-08-05,LOC-10,PM,13:00:00,21:00:00,8.0,8.04,Completed,False,False
SFT-000004,EMP-00002,2025-08-10,LOC-10,AM,07:00:00,15:00:00,8.0,0.0,No-show,False,False
SFT-000005,EMP-00002,2025-08-11,LOC-10,PM,13:00:00,21:00:00,8.0,7.91,Completed,False,False
SFT-000006,EMP-00002,2025-08-12,LOC-10,AM,07:00:00,15:00:00,8.0,8.12,Completed,False,False
SFT-000007,EMP-00002,2025-08-17,LOC-10,Night,21:00:00,07:00:00,8.0,8.05,Completed,False,False
SFT-000008,EMP-00002,2025-08-18,LOC-10,AM,07:00:00,15:00:00,8.0,8.08,Completed,False,False
SFT-000009,EMP-00002,2025-08-19,LOC-10,AM,07:00:00,15:00:00,8.0,7.68,Completed,False,False
SFT-000010,EMP-00002,2025-08-24,LOC-10,AM,07:00:00,15:00:00,8.0,0.0,Cancelled,False,False
SFT-000011,EMP-00002,2025-08-25,LOC-10,AM,07:00:00,15:00:00,8.0,8.27,Completed,False,False
SFT-000012,EMP-00002,2025-08-26,LOC-10,AM,07:00:00,15:00:00,8.0,8.02,Completed,False,False
SFT-000013,EMP-00002,2025-08-31,LOC-10,AM,07:00:00,15:00:00,8.0,8.19,Completed,False,False
SFT-000014,EMP-00002,2025-09-01,LOC-10,Split,07:00:00,19:00:00,10.0,10.29,Completed,False,False
SFT-000015,EMP-00002,2025-09-02,LOC-10,AM,07:00:00,15:00:00,8.0,8.13,Completed,False,False
SFT-000016,EMP-00002,2025-09-07,LOC-10,Split,07:00:00,19:00:00,10.0,10.1,Completed,False,False
SFT-000017,EMP-00002,2025-09-08,LOC-10,PM,13:00:00,21:00:00,8.0,8.0,Completed,False,False
SFT-000018,EMP-00002,2025-09-09,LOC-10,Night,21:00:00,07:00:00,8.0,7.88,Completed,False,False
SFT-000019,EMP-00002,2025-09-14,LOC-10,PM,13:00:00,21:00:00,8.0,0.0,Cancelled,False,False
SFT-000020,EMP-00002,2025-09-15,LOC-10,AM,07:00:00,15:00:00,8.0,8.32,Completed,False,False
SFT-000021,EMP-00002,2025-09-16,LOC-10,PM,13:00:00,21:00:00,8.0,7.91,Completed,False,False
SFT-000022,EMP-00002,2025-09-21,LOC-10,AM,07:00:00,15:00:00,8.0,7.99,Completed,False,False
SFT-000023,EMP-00002,2025-09-22,LOC-10,PM,13:00:00,21:00:00,8.0,7.93,Completed,False,False
SFT-000024,EMP-00002,2025-09-23,LOC-10,Split,07:00:00,19:00:00,10.0,9.85,Completed,False,False
SFT-000025,EMP-00002,2025-09-28,LOC-10,AM,07:00:00,15:00:00,8.0,8.93,Completed,True,False
SFT-000026,EMP-00002,2025-09-29,LOC-10,AM,07:00:00,15:00:00,8.0,8.68,Completed,True,False
SFT-000027,EMP-00002,2025-10-05,LOC-10,AM,07:00:00,15:00:00,8.0,7.95,Completed,False,False
SFT-000028,EMP-00002,2025-10-06,LOC-10,Night,21:00:00,07:00:00,8.0,7.95,Completed,False,False
SFT-000029,EMP-00002,2025-10-07,LOC-10,Split,07:00:00,19:00:00,10.0,0.0,Cancelled,False,False
SFT-000030,EMP-00002,2025-10-12,LOC-10,AM,07:00:00,15:00:00,8.0,8.08,Completed,False,False
SFT-000031,EMP-00002,2025-10-13,LOC-10,Night,21:00:00,07:00:00,8.0,7.84,Completed,False,False
SFT-000032,EMP-00002,2025-10-14,LOC-10,AM,07:00:00,15:00:00,8.0,10.56,Completed,True,False
SFT-000033,EMP-00002,2025-10-19,LOC-10,AM,07:00:00,15:00:00,8.0,7.98,Completed,False,False
SFT-000034,EMP-00002,2025-10-20,LOC-10,AM,07:00:00,15:00:00,8.0,7.83,Completed,False,False
SFT-000035,EMP-00002,2025-10-21,LOC-10,PM,13:00:00,21:00:00,8.0,8.14,Completed,False,False
SFT-000036,EMP-00002,2025-10-26,LOC-10,AM,07:00:00,15:00:00,8.0,8.11,Completed,False,False
SFT-000037,EMP-00002,2025-10-27,LOC-10,AM,07:00:00,15:00:00,8.0,8.14,Completed,False,False
SFT-000038,EMP-00002,2025-10-28,LOC-10,PM,13:00:00,21:00:00,8.0,7.95,Completed,False,False
SFT-000039,EMP-00002,2025-11-02,LOC-10,PM,13:00:00,21:00:00,8.0,8.01,Completed,False,False
SFT-000040,EMP-00002,2025-11-03,LOC-10,AM,07:00:00,15:00:00,8.0,7.93,Completed,False,False
SFT-000041,EMP-00002,2025-11-04,LOC-10,PM,13:00:00,21:00:00,8.0,8.06,Completed,False,False
SFT-000042,EMP-00002,2025-11-09,LOC-10,Night,21:00:00,07:00:00,8.0,8.07,Completed,False,False
