date_key,location_id,primary_role,shifts_rostered,shifts_completed,actual_hours,planned_hours,overtime_shifts
2025-08-04,LOC-10,Support Worker,4,4.0,32.36,32.0,0.0
2025-08-12,LOC-10,Support Worker,3,3.0,23.99,24.0,0.0
2025-08-31,LOC-10,Support Worker,5,5.0,39.989999999999995,40.0,0.0
2025-09-15,LOC-10,Support Worker,4,4.0,35.44,32.0,2.0
2025-09-28,LOC-10,Support Worker,5,5.0,41.190000000000005,40.0,1.0
2025-10-07,LOC-10,Support Worker,3,2.0,18.87,26.0,1.0
2025-10-12,LOC-10,Support Worker,3,3.0,24.189999999999998,24.0,0.0
2025-10-26,LOC-10,Support Worker,4,4.0,32.37,32.0,0.0
2025-11-09,LOC-10,Support Worker,4,4.0,31.990000000000002,32.0,0.0
2025-11-10,LOC-10,Support Worker,4,4.0,33.92999999999999,32.0,1.0
2025-11-16,LOC-10,Support Worker,4,4.0,34.56,34.0,1.0
2025-12-08,LOC-10,Support Worker,4,4.0,33.1,32.0,1.0
2025-12-21,LOC-10,Support Worker,4,4.0,34.95,34.0,1.0
2025-12-23,LOC-10,Support Worker,2,2.0,15.66,16.0,0.0
2025-12-30,LOC-10,Support Worker,3,3.0,28.05,26.0,1.0
2026-01-27,LOC-10,Support Worker,3,3.0,26.21,26.0,0.0
2026-02-09,LOC-10,Support Worker,4,4.0,32.31,32.0,0.0
2026-02-10,LOC-10,Support Worker,3,3.0,25.43,24.0,1.0
2026-03-02,LOC-10,Support Worker,4,4.0,31.87,32.0,0.0
2026-03-22,LOC-10,Support Worker,5,5.0,44.0,42.0,1.0
2026-03-24,LOC-10,Support Worker,3,2.0,16.369999999999997,24.0,0.0
2026-04-07,LOC-10,Support Worker,3,3.0,24.03,24.0,0.0
2026-04-20,LOC-10,Support Worker,3,3.0,28.36,26.0,1.0
2026-05-05,LOC-10,Support Worker,3,3.0,26.880000000000003,26.0,1.0
2026-05-11,LOC-10,Support Worker,3,3.0,24.439999999999998,24.0,0.0
2026-05-18,LOC-10,Support Worker,4,4.0,32.05,32.0,0.0
2026-05-25,LOC-10,Support Worker,4,4.0,34.07,34.0,0.0
2026-06-07,LOC-10,Support Worker,5,5.0,40.45,40.0,0.0
2026-06-22,LOC-10,Support Worker,4,4.0,38.120000000000005,32.0,2.0
2026-06-30,LOC-10,Support Worker,3,3.0,27.810000000000002,28.0,0.0
2026-07-07,LOC-10,Support Worker,3,3.0,24.22,24.0,0.0
2026-07-12,LOC-10,Support Worker,5,5.0,42.03,42.0,0.0
2026-07-13,LOC-10,Support Worker,4,4.0,35.010000000000005,34.0,1.0
2026-07-26,LOC-10,Support Worker,5,5.0,40.12,40.0,0.0
2025-08-20,LOC-05,Allied Health Clinician,2,2.0,16.15,16.0,0.0
2025-08-22,LOC-05,Allied Health Clinician,2,2.0,15.96,16.0,0.0
2025-08-27,LOC-05,Allied Health Clinician,2,2.0,16.07,16.0,0.0
2025-08-29,LOC-05,Allied Health Clinician,2,2.0,17.22,16.0,1.0
2025-09-03,LOC-05,Allied Health Clinician,2,2.0,18.42,16.0,1.0
2025-09-10,LOC-05,Allied Health Clinician,2,2.0,18.16,18.0,0.0
2025-09-19,LOC-05,Allied Health Clinician,2,2.0,16.119999999999997,16.0,0.0
2025-10-03,LOC-05,Allied Health Clinician,2,2.0,15.719999999999999,16.0,0.0
2025-10-08,LOC-05,Allied Health Clinician,2,2.0,15.850000000000001,16.0,0.0
2025-10-17,LOC-05,Allied Health Clinician,2,2.0,16.119999999999997,16.0,0.0
2025-11-14,LOC-05,Allied Health Clinician,2,2.0,16.14,16.0,0.0
2025-11-26,LOC-05,Allied Health Clinician,2,2.0,16.08,16.0,0.0
2026-01-09,LOC-05,Allied Health Clinician,2,2.0,15.98,16.0,0.0
2026-01-21,LOC-05,Allied Health Clinician,2,2.0,15.75,16.0,0.0
2026-02-11,LOC-05,Allied Health Clinician,1,1.0,7.97,8.0,0.0
2026-02-13,LOC-05,Allied Health Clinician,2,2.0,18.74,16.0,1.0
2026-02-20,LOC-05,Allied Health Clinician,2,2.0,16.43,16.0,0.0
2026-02-25,LOC-05,Allied Health Clinician,2,2.0,15.77,16.0,0.0
2026-03-13,LOC-05,Allied Health Clinician,2,2.0,18.78,16.0,2.0
2026-03-27,LOC-05,Allied Health Clinician,2,2.0,15.85,16.0,0.0
2026-04-03,LOC-05,Allied Health Clinician,2,2.0,15.97,16.0,0.0
2026-04-08,LOC-05,Allied Health Clinician,1,0.0,0.0,8.0,0.0
2026-04-15,LOC-05,Allied Health Clinician,2,2.0,16.270000000000003,16.0,0.0
2026-05-06,LOC-05,Allied Health Clinician,2,2.0,17.95,18.0,0.0
2026-06-03,LOC-05,Allied Health Clinician,2,2.0,15.75,16.0,0.0
2026-06-10,LOC-05,Allied Health Clinician,1,1.0,7.82,8.0,0.0
2026-06-19,LOC-05,Allied Health Clinician,2,2.0,17.89,18.0,0.0
2026-06-24,LOC-05,Allied Health Clinician,2,2.0,16.009999999999998,16.0,0.0
2026-07-08,LOC-05,Allied Health Clinician,2,2.0,17.9,18.0,0.0
