gender,age_band,primary_role,location_id,shift_count,total_actual_hours,overtime_shift_count
Female,25-34,Coordinator,LOC-01,203,1668.1900000000014,16.0
Male,25-34,Support Worker,LOC-05,140,1131.5300000000002,11.0
Female,35-44,Support Worker,LOC-10,334,2742.670000000001,48.0
Female,18-24,Team Leader,LOC-10,137,1120.43,17.0
Female,25-34,Support Worker,LOC-06,338,2772.400000000001,45.0
Male,45-54,Support Worker,LOC-10,43,355.51000000000005,4.0
Female,35-44,Support Worker,LOC-05,251,2029.859999999999,13.0
Female,45-54,Allied Health Clinician,LOC-05,237,1928.3299999999997,25.0
Male,25-34,Support Worker,LOC-10,150,1194.32,14.0
Male,25-34,Allied Health Clinician,LOC-02,252,2055.460000000001,28.0
Female,65+,Support Worker,LOC-04,299,2429.249999999998,26.0
Female,35-44,Team Leader,LOC-05,91,722.66,6.0
Female,45-54,Support Worker,LOC-05,242,2010.130000000001,25.0
Female,45-54,Support Worker,LOC-04,49,407.71999999999997,4.0
Male,35-44,Team Leader,LOC-03,332,2697.5899999999997,27.0
Female,45-54,Allied Health Clinician,LOC-10,43,341.48999999999995,2.0
Male,55-64,Support Worker,LOC-07,102,832.54,12.0
Male,45-54,Support Worker,LOC-05,243,1964.259999999999,23.0
Female,45-54,Allied Health Clinician,LOC-06,147,1271.3600000000001,34.0
Female,35-44,Support Worker,LOC-01,94,753.8000000000001,5.0
Female,25-34,Team Leader,LOC-03,240,1915.8699999999997,13.0
Female,55-64,Support Worker,LOC-04,98,801.84,8.0
Female,55-64,Support Worker,LOC-10,95,782.8700000000001,13.0
Female,18-24,Coordinator,LOC-05,103,818.6700000000002,8.0
Male,45-54,Registered Nurse,LOC-06,257,2077.6100000000006,29.0
Male,35-44,Support Worker,LOC-06,258,2128.3700000000003,36.0
Non-binary / Other,55-64,Allied Health Clinician,LOC-05,228,1897.6,24.0
Male,25-34,Support Worker,LOC-02,345,2841.4800000000014,39.0
Male,18-24,Support Worker,LOC-05,49,389.02,2.0
Female,55-64,Coordinator,LOC-05,44,351.84999999999997,2.0
Female,65+,Support Worker,LOC-02,244,1993.6100000000004,24.0
Male,55-64,Support Worker,LOC-08,100,843.6100000000004,19.0
Male,35-44,Support Worker,LOC-04,99,760.73,4.0
Female,25-34,Support Worker,LOC-02,201,1627.2200000000003,14.0
Female,55-64,Team Leader,LOC-04,242,1972.37,26.0
Non-binary / Other,45-54,Support Worker,LOC-09,95,778.1100000000002,12.0
Non-binary / Other,35-44,Team Leader,LOC-08,152,1270.2299999999996,17.0
Male,35-44,Support Worker,LOC-10,138,1125.4099999999999,21.0
Male,35-44,Support Worker,LOC-01,248,2018.0300000000009,17.0
Male,45-54,Support Worker,LOC-02,245,1917.43,16.0
Female,45-54,Team Leader,LOC-03,379,3111.1099999999983,42.0
Male,55-64,Team Leader,LOC-03,248,2002.07,25.0
Male,55-64,Support Worker,LOC-10,247,2001.8299999999997,28.0
Female,25-34,Allied Health Clinician,LOC-05,101,797.0600000000003,13.0
Female,25-34,Team Leader,LOC-05,248,1957.5799999999995,21.0
Female,65+,Support Worker,LOC-07,101,832.7100000000002,12.0
Male,35-44,Support Worker,LOC-08,482,3973.4600000000014,56.0
Male,25-34,Coordinator,LOC-04,103,822.5299999999997,9.0
Female,35-44,Support Worker,LOC-03,51,396.09,2.0
Male,35-44,Allied Health Clinician,LOC-01,48,393.65999999999997,4.0
Male,65+,Support Worker,LOC-03,91,726.3800000000005,7.0
Female,35-44,Allied Health Clinician,LOC-09,483,3905.669999999996,49.0
Female,25-34,Support Worker,LOC-03,350,2915.839999999998,40.0
Male,18-24,Support Worker,LOC-09,245,2013.5800000000017,30.0
Female,35-44,Coordinator,LOC-10,234,1913.0300000000002,33.0
Female,18-24,Support Worker,LOC-10,227,1883.8300000000006,33.0
Male,25-34,Support Worker,LOC-07,96,790.0200000000001,9.0
Non-binary / Other,45-54,Support Worker,LOC-06,256,2129.03,39.0
Female,45-54,Allied Health Clinician,LOC-07,239,1966.4699999999998,38.0
Male,55-64,Support Worker,LOC-04,238,1913.5500000000002,26.0
Non-binary / Other,55-64,Support Worker,LOC-07,149,1207.6599999999994,12.0
Female,25-34,Registered Nurse,LOC-05,245,1966.3199999999993,19.0
Female,55-64,Team Leader,LOC-08,242,1982.1200000000008,33.0
