location_id,service_type_id,month_start_date,appointments,avg_satisfaction,avg_quality_score,incident_count,cancelled_count,goals_achieved_count
LOC-05,SVC-02,2025-08-01,11,4.14,81.41999999999999,0.0,5.0,5.0
LOC-05,SVC-01,2025-08-01,15,4.25,78.41250000000001,0.0,5.0,6.0
LOC-07,SVC-07,2025-08-01,7,3.7399999999999998,80.52,0.0,2.0,4.0
LOC-06,SVC-03,2025-08-01,3,3.95,69.25,0.0,0.0,2.0
LOC-07,SVC-02,2025-08-01,9,4.033333333333334,88.375,1.0,3.0,4.0
LOC-04,SVC-05,2025-08-01,5,4.3,89.8,0.0,1.0,3.0
LOC-06,SVC-01,2025-08-01,13,4.340000000000001,76.88333333333334,0.0,4.0,5.0
LOC-02,SVC-01,2025-08-01,8,4.3500000000000005,80.26666666666667,0.0,2.0,3.0
LOC-04,SVC-09,2025-08-01,6,3.7599999999999993,82.0,0.0,1.0,5.0
LOC-01,SVC-03,2025-08-01,6,3.9749999999999996,81.975,0.0,2.0,4.0
LOC-01,SVC-06,2025-08-01,9,4.36,84.84,0.0,2.0,5.0
LOC-10,SVC-07,2025-08-01,3,4.8,85.2,0.0,2.0,1.0
LOC-05,SVC-06,2025-08-01,4,,73.1,0.0,3.0,0.0
LOC-05,SVC-09,2025-08-01,2,3.7,72.4,0.0,1.0,0.0
LOC-09,SVC-05,2025-08-01,8,4.475,85.5,0.0,2.0,4.0
LOC-03,SVC-08,2025-08-01,6,3.925,85.76000000000002,0.0,1.0,5.0
LOC-08,SVC-08,2025-08-01,5,4.2,81.33333333333333,0.0,2.0,3.0
LOC-10,SVC-08,2025-08-01,4,4.199999999999999,89.93333333333334,0.0,0.0,3.0
LOC-03,SVC-07,2025-08-01,6,4.533333333333333,75.1,0.0,1.0,4.0
LOC-03,SVC-01,2025-08-01,14,4.581818181818182,81.01666666666667,1.0,1.0,11.0
LOC-09,SVC-07,2025-09-01,3,,,0.0,3.0,0.0
LOC-01,SVC-02,2025-09-01,9,3.5333333333333337,86.55,0.0,2.0,2.0
LOC-04,SVC-02,2025-09-01,5,4.2,78.25,0.0,3.0,2.0
LOC-03,SVC-05,2025-09-01,8,3.8166666666666664,86.71428571428571,0.0,1.0,5.0
LOC-08,SVC-07,2025-09-01,6,3.7249999999999996,77.1,0.0,1.0,3.0
LOC-02,SVC-07,2025-09-01,6,4.175,81.725,0.0,1.0,3.0
LOC-08,SVC-03,2025-09-01,1,,,0.0,1.0,0.0
LOC-03,SVC-03,2025-09-01,8,4.35,82.6,0.0,2.0,1.0
LOC-01,SVC-01,2025-09-01,9,4.214285714285714,88.58749999999999,0.0,0.0,7.0
LOC-07,SVC-03,2025-09-01,4,4.4,79.1,0.0,1.0,1.0
LOC-10,SVC-01,2025-10-01,10,3.8600000000000003,75.6857142857143,0.0,3.0,6.0
LOC-09,SVC-09,2025-10-01,3,3.7,71.7,0.0,1.0,1.0
LOC-04,SVC-07,2025-10-01,4,3.5,72.3,0.0,1.0,1.0
LOC-04,SVC-01,2025-10-01,8,3.975,75.6,0.0,3.0,4.0
LOC-03,SVC-02,2025-10-01,5,4.050000000000001,85.36666666666667,0.0,2.0,3.0
LOC-09,SVC-03,2025-10-01,4,4.449999999999999,92.7,0.0,1.0,1.0
LOC-08,SVC-01,2025-10-01,17,4.342857142857143,81.77142857142857,0.0,4.0,7.0
LOC-10,SVC-06,2025-10-01,5,4.766666666666667,83.89999999999999,0.0,0.0,2.0
LOC-02,SVC-05,2025-10-01,2,,,0.0,1.0,0.0
LOC-06,SVC-05,2025-10-01,11,4.2,86.15,1.0,1.0,7.0
LOC-01,SVC-09,2025-10-01,5,4.3999999999999995,84.1,0.0,1.0,1.0
LOC-02,SVC-09,2025-10-01,4,3.5,77.69999999999999,0.0,2.0,2.0
