week_start_date,location_id,primary_role,employees_with_overtime,total_overtime_hours,avg_overtime_hours,total_hours_worked,total_contracted_hours
2025-08-18,LOC-10,Support Worker,9,40.14,4.46,221.8,196.0
2025-08-25,LOC-10,Support Worker,9,27.830000000000005,3.092222222222223,205.56,196.0
2025-09-22,LOC-10,Support Worker,9,38.989999999999995,4.332222222222222,219.19,196.0
2025-10-06,LOC-10,Support Worker,8,17.89,2.23625,157.20999999999998,172.0
2025-10-20,LOC-10,Support Worker,9,29.310000000000002,3.256666666666667,210.86,196.0
2025-11-03,LOC-10,Support Worker,8,23.74,2.9675,161.97,158.0
2026-01-12,LOC-10,Support Worker,9,29.59,3.287777777777778,206.42000000000002,196.0
2026-03-09,LOC-10,Support Worker,9,28.24,3.1377777777777776,201.01000000000002,196.0
2026-03-23,LOC-10,Support Worker,9,15.04,1.671111111111111,182.05999999999997,196.0
2026-06-08,LOC-10,Support Worker,8,27.200000000000003,3.4000000000000004,190.51,180.0
2026-07-20,LOC-10,Support Worker,9,11.53,1.281111111111111,179.56,196.0
2026-07-27,LOC-10,Support Worker,8,0.0,0.0,105.75,184.0
2025-08-25,LOC-05,Allied Health Clinician,4,9.48,2.37,140.78,138.0
2025-09-29,LOC-05,Allied Health Clinician,4,12.83,3.2075,142.72,138.0
2025-12-08,LOC-05,Allied Health Clinician,4,13.39,3.3475,143.38,138.0
2026-02-23,LOC-05,Allied Health Clinician,4,13.6,3.4,143.44,138.0
2026-03-16,LOC-05,Allied Health Clinician,4,6.01,1.5025,125.96000000000001,138.0
2026-03-23,LOC-05,Allied Health Clinician,4,15.049999999999999,3.7624999999999997,145.35,138.0
2026-04-06,LOC-05,Allied Health Clinician,4,2.73,0.6825,120.82,138.0
2026-04-13,LOC-05,Allied Health Clinician,4,6.01,1.5025,130.24,138.0
2026-04-20,LOC-05,Allied Health Clinician,4,12.44,3.11,128.98,138.0
2026-05-04,LOC-05,Allied Health Clinician,4,3.89,0.9725,127.98000000000002,138.0
2026-05-18,LOC-05,Allied Health Clinician,4,15.360000000000001,3.8400000000000003,137.27,138.0
2026-06-08,LOC-05,Allied Health Clinician,3,10.29,3.4299999999999997,97.55,100.0
2026-06-22,LOC-05,Allied Health Clinician,4,10.620000000000001,2.6550000000000002,138.94,138.0
2026-07-06,LOC-05,Allied Health Clinician,3,10.0,3.3333333333333335,102.02,100.0
2025-08-18,LOC-01,Coordinator,2,18.38,9.19,34.38,16.0
2025-09-08,LOC-01,Coordinator,2,20.1,10.05,36.1,16.0
2025-09-29,LOC-01,Coordinator,2,15.990000000000002,7.995000000000001,31.990000000000002,16.0
